"weaponName","tierLevel","statBehavior","statValidation","statParams","goal","description","name"
"SAID01580685432",0,"DownCount","1","IsFullyHeated:true",25,"#MASTERY_TRIAL_NEMESIS_0_DESC","#MASTERY_TRIAL_NEMESIS_0_NAME"
"SAID01580685432",1,"KillCountWithDownCondition","1","TeammateInteractWithTarget:be_killed|10|false",15,"#MASTERY_TRIAL_NEMESIS_1_DESC","#MASTERY_TRIAL_NEMESIS_1_NAME"
"SAID01580685432",2,"KillCountWithDownCondition","1","TargetInteractEvent:be_downed|-1",10,"#MASTERY_TRIAL_NEMESIS_2_DESC","#MASTERY_TRIAL_NEMESIS_2_NAME"
"SAID01580685432",3,"DoubleKill","","Reload:1|true",5,"#MASTERY_TRIAL_NEMESIS_3_DESC","#MASTERY_TRIAL_NEMESIS_3_NAME"
"SAID01580685432",4,"DoubleKill","","KeepFullyHeated",3,"#MASTERY_TRIAL_NEMESIS_4_DESC","#MASTERY_TRIAL_NEMESIS_4_NAME"
"SAID00970511567",0,"BreakShieldCount","1","ShieldType:1",25,"#MASTERY_TRIAL_P2011_0_DESC","#MASTERY_TRIAL_P2011_0_NAME"
"SAID00970511567",1,"DownCount","1","WeaponWithinPickupTime:15",20,"#MASTERY_TRIAL_P2011_1_DESC","#MASTERY_TRIAL_P2011_1_NAME"
"SAID00970511567",2,"DownCount","3","WithExactAttachment:mag|bullets_mag_l3;MatchIncreaseOnce",15,"#MASTERY_TRIAL_P2011_2_DESC","#MASTERY_TRIAL_P2011_2_NAME"
"SAID00970511567",3,"DownCount","1","TargetInteractEvent:break_shield|5",5,"#MASTERY_TRIAL_P2011_3_DESC","#MASTERY_TRIAL_P2011_3_NAME"
"SAID00970511567",4,"DownCountAfterDamage","2","MatchIncreaseOnce;UseBothWeapons;InvalidTime:60;RequiredDamage:1",5,"#MASTERY_TRIAL_P2011_4_DESC","#MASTERY_TRIAL_P2011_4_NAME"
"SAID00686444189",0,"DownCount","1","AttackerEvent:weapon_switch|5",20,"#MASTERY_TRIAL_RE45_AUTOPISTOL_0_DESC","#MASTERY_TRIAL_RE45_AUTOPISTOL_0_NAME"
"SAID00686444189",1,"FinishOff","1","",20,"#MASTERY_TRIAL_RE45_AUTOPISTOL_1_DESC","#MASTERY_TRIAL_RE45_AUTOPISTOL_1_NAME"
"SAID00686444189",2,"DownCount","1","IsAds:false;WithAttachmentType:mag||3",15,"#MASTERY_TRIAL_RE45_AUTOPISTOL_2_DESC","#MASTERY_TRIAL_RE45_AUTOPISTOL_2_NAME"
"SAID00686444189",3,"DownCount","1","IsAds:false;AttackerIsSliding:true",15,"#MASTERY_TRIAL_RE45_AUTOPISTOL_3_DESC","#MASTERY_TRIAL_RE45_AUTOPISTOL_3_NAME"
"SAID00686444189",4,"DownCountAfterReload","1","",10,"#MASTERY_TRIAL_RE45_AUTOPISTOL_4_DESC","#MASTERY_TRIAL_RE45_AUTOPISTOL_4_NAME"
"SAID02091853053",0,"DownCount","1","IsAds:true",25,"#MASTERY_TRIAL_WINGMAN_0_DESC","#MASTERY_TRIAL_WINGMAN_0_NAME"
"SAID02091853053",1,"DownCount","1","DistanceExceeds:70",20,"#MASTERY_TRIAL_WINGMAN_1_DESC","#MASTERY_TRIAL_WINGMAN_1_NAME"
"SAID02091853053",2,"ContinuousHitCount","2","IsHeadshot:true",15,"#MASTERY_TRIAL_WINGMAN_2_DESC","#MASTERY_TRIAL_WINGMAN_2_NAME"
"SAID02091853053",3,"DownCount","1","VictimUsingWeapon:mp_weapon_wingman",10,"#MASTERY_TRIAL_WINGMAN_3_DESC","#MASTERY_TRIAL_WINGMAN_3_NAME"
"SAID02091853053",4,"DownCount","1","TargetInAir:true;AttackerInAir:true",5,"#MASTERY_TRIAL_WINGMAN_4_DESC","#MASTERY_TRIAL_WINGMAN_4_NAME"
"SAID01388774763",0,"FireAndHit","Immediate","Down:1;Damage:1|true;ClearOnWeaponAttack",25,"#MASTERY_TRIAL_ENERGY_SHOTGUN_0_DESC","#MASTERY_TRIAL_ENERGY_SHOTGUN_0_NAME"
"SAID01388774763",1,"DownCount","1","IsAds:false;TargetInAir:true",20,"#MASTERY_TRIAL_ENERGY_SHOTGUN_1_DESC","#MASTERY_TRIAL_ENERGY_SHOTGUN_1_NAME"
"SAID01388774763",2,"DownCount","1","AttackerEvent:break_door|5",10,"#MASTERY_TRIAL_ENERGY_SHOTGUN_2_DESC","#MASTERY_TRIAL_ENERGY_SHOTGUN_2_NAME"
"SAID01388774763",3,"DownCount","3","IsMaxChargeLevel:true;MatchIncreaseOnce",10,"#MASTERY_TRIAL_ENERGY_SHOTGUN_3_DESC","#MASTERY_TRIAL_ENERGY_SHOTGUN_3_NAME"
"SAID01388774763",4,"DownCount","3","AttackerIsSliding:true;MatchIncreaseOnce",5,"#MASTERY_TRIAL_ENERGY_SHOTGUN_4_DESC","#MASTERY_TRIAL_ENERGY_SHOTGUN_4_NAME"
"SAID00418361060",0,"FireAndHit","Immediate","ClearOnWeaponAttack",25,"#MASTERY_TRIAL_MASTIFF_0_DESC","#MASTERY_TRIAL_MASTIFF_0_NAME"
"SAID00418361060",1,"FireAndHit","ShotEnd","Damage:2|false;AllowPartialHit;ClearOnWeaponAttack",20,"#MASTERY_TRIAL_MASTIFF_1_DESC","#MASTERY_TRIAL_MASTIFF_1_NAME"
"SAID00418361060",2,"DownCount","1","IsHeadshot:true;IsAds:true",20,"#MASTERY_TRIAL_MASTIFF_2_DESC","#MASTERY_TRIAL_MASTIFF_2_NAME"
"SAID00418361060",3,"DownCount","1","WithAttachmentType:mag||3",15,"#MASTERY_TRIAL_MASTIFF_3_DESC","#MASTERY_TRIAL_MASTIFF_3_NAME"
"SAID00418361060",4,"DamageStatisticInShots","400","ShotCount:6",10,"#MASTERY_TRIAL_MASTIFF_4_DESC","#MASTERY_TRIAL_MASTIFF_4_NAME"
"SAID01928357643",0,"DownCountWithoutTriggerRelease","1","",20,"#MASTERY_TRIAL_SHOTGUN_0_DESC","#MASTERY_TRIAL_SHOTGUN_0_NAME"
"SAID01928357643",1,"DownCount","1","WithAttachmentType:mag||3;IsAds:false",20,"#MASTERY_TRIAL_SHOTGUN_1_DESC","#MASTERY_TRIAL_SHOTGUN_1_NAME"
"SAID01928357643",2,"DownCount","1","AttackerEvent:break_door_with_grenade|5",15,"#MASTERY_TRIAL_SHOTGUN_2_DESC","#MASTERY_TRIAL_SHOTGUN_2_NAME"
"SAID01928357643",3,"DownCountWithoutTriggerRelease","2","IsAds:false;MatchIncreaseOnce",10,"#MASTERY_TRIAL_SHOTGUN_3_DESC","#MASTERY_TRIAL_SHOTGUN_3_NAME"
"SAID01928357643",4,"DoubleKill","","IsAds:false",5,"#MASTERY_TRIAL_SHOTGUN_4_DESC","#MASTERY_TRIAL_SHOTGUN_4_NAME"
"SAID00945439943",0,"DownCount","1","WeaponWithinPickupTime:15",25,"#MASTERY_TRIAL_SHOTGUN_PISTOL_0_DESC","#MASTERY_TRIAL_SHOTGUN_PISTOL_0_NAME"
"SAID00945439943",1,"DownCountWithoutTriggerRelease","1","IsAds:true",20,"#MASTERY_TRIAL_SHOTGUN_PISTOL_1_DESC","#MASTERY_TRIAL_SHOTGUN_PISTOL_1_NAME"
"SAID00945439943",2,"DownCount","1","IsAds:true;DistanceExceeds:25",10,"#MASTERY_TRIAL_SHOTGUN_PISTOL_2_DESC","#MASTERY_TRIAL_SHOTGUN_PISTOL_2_NAME"
"SAID00945439943",3,"DamageStatistic","1500","MatchIncreaseOnce",5,"#MASTERY_TRIAL_SHOTGUN_PISTOL_3_DESC","#MASTERY_TRIAL_SHOTGUN_PISTOL_3_NAME"
"SAID00945439943",4,"KillCountWithCategoryAndDownCondition","3","Loadout;MatchIncreaseOnce",3,"#MASTERY_TRIAL_SHOTGUN_PISTOL_4_DESC","#MASTERY_TRIAL_SHOTGUN_PISTOL_4_NAME"
"SAID01408780340",0,"DownCount","1","IsMaxChargeLevel:true",25,"#MASTERY_TRIAL_3030_0_DESC","#MASTERY_TRIAL_3030_0_NAME"
"SAID01408780340",1,"DownCountWithFirstHitCondition","1","Down@IsAds:true;IsMaxChargeLevel:true",20,"#MASTERY_TRIAL_3030_1_DESC","#MASTERY_TRIAL_3030_1_NAME"
"SAID01408780340",2,"DownCount","3","IsMagEmpty:false",15,"#MASTERY_TRIAL_3030_2_DESC","#MASTERY_TRIAL_3030_2_NAME"
"SAID01408780340",3,"DownCount","1","DistanceExceeds:150;IsMaxChargeLevel:true;IsHeadshot:true",10,"#MASTERY_TRIAL_3030_3_DESC","#MASTERY_TRIAL_3030_3_NAME"
"SAID01408780340",4,"WipeSquad","","WithAttachmentType:all,sight,hopup|mp_weapon_3030|max;WithExactAttachment:sight|optic_ranged_hcog",3,"#MASTERY_TRIAL_3030_4_DESC","#MASTERY_TRIAL_3030_4_NAME"
"SAID00909655776",0,"DownCount","1","WithoutAttachmentType:sight;IsAds:true",25,"#MASTERY_TRIAL_G2_0_DESC","#MASTERY_TRIAL_G2_0_NAME"
"SAID00909655776",1,"DownCountAfterDamage","1","Damage@IsHeadshot:true;InvalidTime:30;RequiredDamage:1;ResetAfterSwitch",20,"#MASTERY_TRIAL_G2_1_DESC","#MASTERY_TRIAL_G2_1_NAME"
"SAID00909655776",2,"DownCount","1","DistanceExceeds:80",15,"#MASTERY_TRIAL_G2_2_DESC","#MASTERY_TRIAL_G2_2_NAME"
"SAID00909655776",3,"DamageStatistic","500","DistanceExceeds:120;MatchIncreaseOnce",15,"#MASTERY_TRIAL_G2_3_DESC","#MASTERY_TRIAL_G2_3_NAME"
"SAID00909655776",4,"BreakShieldCount","2","DistanceExceeds:100;MatchIncreaseOnce;WithoutReloading",10,"#MASTERY_TRIAL_G2_4_DESC","#MASTERY_TRIAL_G2_4_NAME"
"SAID01603172346",0,"DownCount","1","IsAds:false",25,"#MASTERY_TRIAL_DOUBLETAKE_0_DESC","#MASTERY_TRIAL_DOUBLETAKE_0_NAME"
"SAID01603172346",1,"DownCount","1","IsMaxChargeLevel:true",20,"#MASTERY_TRIAL_DOUBLETAKE_1_DESC","#MASTERY_TRIAL_DOUBLETAKE_1_NAME"
"SAID01603172346",2,"DownCount","1","VictimIsExecuting:true|true",10,"#MASTERY_TRIAL_DOUBLETAKE_2_DESC","#MASTERY_TRIAL_DOUBLETAKE_2_NAME"
"SAID01603172346",3,"LandXBullets","10","MatchIncreaseOnce",10,"#MASTERY_TRIAL_DOUBLETAKE_3_DESC","#MASTERY_TRIAL_DOUBLETAKE_3_NAME"
"SAID01603172346",4,"DownCount","2","IsMaxChargeLevel:true;IsHeadshot:true;MatchIncreaseOnce",3,"#MASTERY_TRIAL_DOUBLETAKE_4_DESC","#MASTERY_TRIAL_DOUBLETAKE_4_NAME"
"SAID01644528094",0,"DownCount","1","IsAds:true;IsMaxChargeLevel:true",25,"#MASTERY_TRIAL_BOW_0_DESC","#MASTERY_TRIAL_BOW_0_NAME"
"SAID01644528094",1,"DownCount","1","DistanceWithin:5",20,"#MASTERY_TRIAL_BOW_1_DESC","#MASTERY_TRIAL_BOW_1_NAME"
"SAID01644528094",2,"DownCount","2","IsHeadshot:true;MatchIncreaseOnce",10,"#MASTERY_TRIAL_BOW_2_DESC","#MASTERY_TRIAL_BOW_2_NAME"
"SAID01644528094",3,"DownCount","1","AttackerOutsideSafezone:false;TargetOutsideSafezone:true",5,"#MASTERY_TRIAL_BOW_3_DESC","#MASTERY_TRIAL_BOW_3_NAME"
"SAID01644528094",4,"DoubleKill","","DistanceExceeds:120",3,"#MASTERY_TRIAL_BOW_4_DESC","#MASTERY_TRIAL_BOW_4_NAME"
"SAID00080404303",0,"DownCount","1","TargetInAir:true",20,"#MASTERY_TRIAL_R97_0_DESC","#MASTERY_TRIAL_R97_0_NAME"
"SAID00080404303",1,"DownCountWithoutTriggerRelease","1","IsAds:false",20,"#MASTERY_TRIAL_R97_1_DESC","#MASTERY_TRIAL_R97_1_NAME"
"SAID00080404303",2,"DownCount","3","WeaponWithinSwitchTime:5;MatchIncreaseOnce",15,"#MASTERY_TRIAL_R97_2_DESC","#MASTERY_TRIAL_R97_2_NAME"
"SAID00080404303",3,"DownCount","2","DistanceWithin:10;MatchIncreaseOnce;WithAttachmentType:barrel",15,"#MASTERY_TRIAL_R97_3_DESC","#MASTERY_TRIAL_R97_3_NAME"
"SAID00080404303",4,"FireAndHit","MagEnd","HitFromStart",10,"#MASTERY_TRIAL_R97_4_DESC","#MASTERY_TRIAL_R97_4_NAME"
"SAID01981891556",0,"DownCount","1","WithExactAttachment:mag|bullets_mag|true;CarUsingAltAmmo:false",25,"#MASTERY_TRIAL_CAR_0_DESC","#MASTERY_TRIAL_CAR_0_NAME"
"SAID01981891556",1,"DownCount","1","WithExactAttachment:mag|highcal_mag|true;CarUsingAltAmmo:true",20,"#MASTERY_TRIAL_CAR_1_DESC","#MASTERY_TRIAL_CAR_1_NAME"
"SAID01981891556",2,"KillCountWithCategoryAndDownCondition","2","CarWeaponMod;MatchIncreaseOnce",15,"#MASTERY_TRIAL_CAR_2_DESC","#MASTERY_TRIAL_CAR_2_NAME"
"SAID01981891556",3,"KillCountWithDownCondition","3","AttackerHasNoEvent:be_downed;MatchIncreaseOnce",5,"#MASTERY_TRIAL_CAR_3_DESC","#MASTERY_TRIAL_CAR_3_NAME"
"SAID01981891556",4,"DownCount","1","AttackerEvent:car_mode_change|20",3,"#MASTERY_TRIAL_CAR_4_DESC","#MASTERY_TRIAL_CAR_4_NAME"
"SAID00342631558",0,"DownCount","1","IsAds:true;DistanceExceeds:40",20,"#MASTERY_TRIAL_VOLT_SMG_0_DESC","#MASTERY_TRIAL_VOLT_SMG_0_NAME"
"SAID00342631558",1,"DownCount","1","AttackerHpWithin:20",15,"#MASTERY_TRIAL_VOLT_SMG_1_DESC","#MASTERY_TRIAL_VOLT_SMG_1_NAME"
"SAID00342631558",2,"DownCountWithoutTriggerRelease","1","AttackerIsSliding:true",10,"#MASTERY_TRIAL_VOLT_SMG_2_DESC","#MASTERY_TRIAL_VOLT_SMG_2_NAME"
"SAID00342631558",3,"DoubleKill","","InvalidTime:5;MatchIncreaseOnce",5,"#MASTERY_TRIAL_VOLT_SMG_3_DESC","#MASTERY_TRIAL_VOLT_SMG_3_NAME"
"SAID00342631558",4,"DownCountAfterBreakShield","1","DistanceExceeds:50;Down@DistanceWithin:10;InvalidTime:8",5,"#MASTERY_TRIAL_VOLT_SMG_4_DESC","#MASTERY_TRIAL_VOLT_SMG_4_NAME"
"SAID01475792313",0,"DownCount","1","WithoutAttachmentType:sight;IsAds:true",20,"#MASTERY_TRIAL_ALTERNATOR_SMG_0_DESC","#MASTERY_TRIAL_ALTERNATOR_SMG_0_NAME"
"SAID01475792313",1,"DownCountAfterDamage","1","IsAds:true;Damage@IsAds:false",15,"#MASTERY_TRIAL_ALTERNATOR_SMG_1_DESC","#MASTERY_TRIAL_ALTERNATOR_SMG_1_NAME"
"SAID01475792313",2,"DownCountAfterReload","1","",15,"#MASTERY_TRIAL_ALTERNATOR_SMG_2_DESC","#MASTERY_TRIAL_ALTERNATOR_SMG_2_NAME"
"SAID01475792313",3,"DownWithoutEvent","2","WithoutEvent:shield_broke;AttackerHasShield:true",5,"#MASTERY_TRIAL_ALTERNATOR_SMG_3_DESC","#MASTERY_TRIAL_ALTERNATOR_SMG_3_NAME"
"SAID01475792313",4,"KillCountWithDownCondition","3","MatchIncreaseOnce;WithAttachmentType:mag||3",5,"#MASTERY_TRIAL_ALTERNATOR_SMG_4_DESC","#MASTERY_TRIAL_ALTERNATOR_SMG_4_NAME"
"SAID01496005473",0,"KillNpc","5","TargetIsProwler;MatchIncreaseOnce",25,"#MASTERY_TRIAL_PDW_0_DESC","#MASTERY_TRIAL_PDW_0_NAME"
"SAID01496005473",1,"DownCount","1","IsAds:false;AttackerIsSliding:true;WithAttachmentType:barrel",20,"#MASTERY_TRIAL_PDW_1_DESC","#MASTERY_TRIAL_PDW_1_NAME"
"SAID01496005473",2,"LandXBullets","","WithExactAttachment:mag|highcal_mag_l3;HitXEachBurstInMag:1",15,"#MASTERY_TRIAL_PDW_2_DESC","#MASTERY_TRIAL_PDW_2_NAME"
"SAID01496005473",3,"KillCountWithDownCondition","2","AttackerOutsideSafezone:true;TargetOutsideSafezone:true",5,"#MASTERY_TRIAL_PDW_3_DESC","#MASTERY_TRIAL_PDW_3_NAME"
"SAID01496005473",4,"KillCountWithDownCondition","5","WithAttachmentType:sight,all|mp_weapon_pdw|max;MatchIncreaseOnce",5,"#MASTERY_TRIAL_PDW_4_DESC","#MASTERY_TRIAL_PDW_4_NAME"
"SAID01363034817",0,"BreakShieldInSquad","2","MatchIncreaseOnce",20,"#MASTERY_TRIAL_LMG_0_DESC","#MASTERY_TRIAL_LMG_0_NAME"
"SAID01363034817",1,"AssistCount","3","MatchIncreaseOnce",20,"#MASTERY_TRIAL_LMG_1_DESC","#MASTERY_TRIAL_LMG_1_NAME"
"SAID01363034817",2,"BreakIncapShieldAfterDown","1","",15,"#MASTERY_TRIAL_LMG_2_DESC","#MASTERY_TRIAL_LMG_2_NAME"
"SAID01363034817",3,"DownCountWithoutReload","2","MatchIncreaseOnce",5,"#MASTERY_TRIAL_LMG_3_DESC","#MASTERY_TRIAL_LMG_3_NAME"
"SAID01363034817",4,"HitAccuracyAtRound","51","",3,"#MASTERY_TRIAL_LMG_4_DESC","#MASTERY_TRIAL_LMG_4_NAME"
"SAID02050922236",0,"DownCount","1","VictimPosLower;IsEnergized:true",20,"#MASTERY_TRIAL_DRAGON_LMG_0_DESC","#MASTERY_TRIAL_DRAGON_LMG_0_NAME"
"SAID02050922236",1,"DownCount","1","IsLastMag:true;IsEnergized:true",15,"#MASTERY_TRIAL_DRAGON_LMG_1_DESC","#MASTERY_TRIAL_DRAGON_LMG_1_NAME"
"SAID02050922236",2,"DownCountWithoutReload","2","MatchIncreaseOnce",10,"#MASTERY_TRIAL_DRAGON_LMG_2_DESC","#MASTERY_TRIAL_DRAGON_LMG_2_NAME"
"SAID02050922236",3,"DownCountWithoutAnyTriggerRelease","1","BreakDoorWithGun:mp_weapon_dragon_lmg|5",5,"#MASTERY_TRIAL_DRAGON_LMG_3_DESC","#MASTERY_TRIAL_DRAGON_LMG_3_NAME"
"SAID02050922236",4,"DownCount","2","DistanceExceeds:40;MatchIncreaseOnce;IsEnergized:true",5,"#MASTERY_TRIAL_DRAGON_LMG_4_DESC","#MASTERY_TRIAL_DRAGON_LMG_4_NAME"
"SAID00352110003",0,"DownCount","1","WeaponFireRateReached:1",25,"#MASTERY_TRIAL_ESAW_0_DESC","#MASTERY_TRIAL_ESAW_0_NAME"
"SAID00352110003",1,"KillCountWithDownCondition","1","WithExactAttachment:hopup|hopup_turbocharger;IsAds:false",15,"#MASTERY_TRIAL_ESAW_1_DESC","#MASTERY_TRIAL_ESAW_1_NAME"
"SAID00352110003",2,"KillCountWithDownCondition","1","WithAttachmentType:all,hopup|mp_weapon_esaw|max",15,"#MASTERY_TRIAL_ESAW_2_DESC","#MASTERY_TRIAL_ESAW_2_NAME"
"SAID00352110003",3,"DownCount","1","VictimUsingWeapon:mp_weapon_energy_ar;ReturnFire:5",10,"#MASTERY_TRIAL_ESAW_3_DESC","#MASTERY_TRIAL_ESAW_3_NAME"
"SAID00352110003",4,"DownCountWithoutAnyTriggerRelease","2","",3,"#MASTERY_TRIAL_ESAW_4_DESC","#MASTERY_TRIAL_ESAW_4_NAME"
"SAID00194888968",0,"DownCount","1","AttackWithoutOverheat:10;IsAds:false;DistanceWithin:10",20,"#MASTERY_TRIAL_LSTAR_0_DESC","#MASTERY_TRIAL_LSTAR_0_NAME"
"SAID00194888968",1,"DownCount","1","VictimUsingWeapon:mp_weapon_lstar",20,"#MASTERY_TRIAL_LSTAR_1_DESC","#MASTERY_TRIAL_LSTAR_1_NAME"
"SAID00194888968",2,"FinishOff","1","AttackerSameAsKiller;IncapShieldBreakerSameAsKiller;AttackWithoutOverheat:10",15,"#MASTERY_TRIAL_LSTAR_2_DESC","#MASTERY_TRIAL_LSTAR_2_NAME"
"SAID00194888968",3,"DownCount","1","VictimWeaponIsReloading:true",10,"#MASTERY_TRIAL_LSTAR_3_DESC","#MASTERY_TRIAL_LSTAR_3_NAME"
"SAID00194888968",4,"DownCountWithoutWeaponOverheat","3","MatchIncreaseOnce",5,"#MASTERY_TRIAL_LSTAR_4_DESC","#MASTERY_TRIAL_LSTAR_4_NAME"
"SAID00908539842",0,"DownCount","1","TeammateInteractWithTarget:be_damaged|8|true;IsHeadshot:true",20,"#MASTERY_TRIAL_DMR_0_DESC","#MASTERY_TRIAL_DMR_0_NAME"
"SAID00908539842",1,"DownCount","1","TargetEvent:neutral_airdrops_looted|5",15,"#MASTERY_TRIAL_DMR_1_DESC","#MASTERY_TRIAL_DMR_1_NAME"
"SAID00908539842",2,"DownCount","1","TeammateInteractWithTarget:be_damaged|8|false",10,"#MASTERY_TRIAL_DMR_2_DESC","#MASTERY_TRIAL_DMR_2_NAME"
"SAID00908539842",3,"DownCount","1","TargetEvent:respawned|15",10,"#MASTERY_TRIAL_DMR_3_DESC","#MASTERY_TRIAL_DMR_3_NAME"
"SAID00908539842",4,"ContinuousHitCount","3","IsHeadshot:true;AllowDifferentVictim;MatchIncreaseOnce",5,"#MASTERY_TRIAL_DMR_4_DESC","#MASTERY_TRIAL_DMR_4_NAME"
"SAID00947460272",0,"DownCount","1","IsEnergized:true",20,"#MASTERY_TRIAL_SENTINEL_0_DESC","#MASTERY_TRIAL_SENTINEL_0_NAME"
"SAID00947460272",1,"DownCount","1","IsHeadshot:true;TargetEvent:deathbox_looted|5",20,"#MASTERY_TRIAL_SENTINEL_1_DESC","#MASTERY_TRIAL_SENTINEL_1_NAME"
"SAID00947460272",2,"ContinuousHitCount","2","IsHeadshot:true;InTempo:true",15,"#MASTERY_TRIAL_SENTINEL_2_DESC","#MASTERY_TRIAL_SENTINEL_2_NAME"
"SAID00947460272",3,"DownCount","1","DistanceExceeds:200;IsHeadshot:true",10,"#MASTERY_TRIAL_SENTINEL_3_DESC","#MASTERY_TRIAL_SENTINEL_3_NAME"
"SAID00947460272",4,"DownCount","1","TargetInAir:true;IsEnergized:true;IsHeadshot:true",3,"#MASTERY_TRIAL_SENTINEL_4_DESC","#MASTERY_TRIAL_SENTINEL_4_NAME"
"SAID00107352658",0,"DownCount","1","IsAds:true;WithExactAttachment:sight|optic_sniper|true",25,"#MASTERY_TRIAL_CHARGE_RIFLE_0_DESC","#MASTERY_TRIAL_CHARGE_RIFLE_0_NAME"
"SAID00107352658",1,"BreakShieldCount","3","MatchIncreaseOnce;OverChargeFraction:1",20,"#MASTERY_TRIAL_CHARGE_RIFLE_1_DESC","#MASTERY_TRIAL_CHARGE_RIFLE_1_NAME"
"SAID00107352658",2,"DownCount","1","TargetDamageAttackerWithWeapon:20|mp_weapon_defender",10,"#MASTERY_TRIAL_CHARGE_RIFLE_2_DESC","#MASTERY_TRIAL_CHARGE_RIFLE_2_NAME"
"SAID00107352658",3,"FireAndHit","ShotEnd","Damage:2|false;AllowPartialHit;ClearOnPostWeaponAttack",5,"#MASTERY_TRIAL_CHARGE_RIFLE_3_DESC","#MASTERY_TRIAL_CHARGE_RIFLE_3_NAME"
"SAID00107352658",4,"FinishOff","2","AttackerSameAsKiller;DistanceExceeds:200;MatchIncreaseOnce",3,"#MASTERY_TRIAL_CHARGE_RIFLE_4_DESC","#MASTERY_TRIAL_CHARGE_RIFLE_4_NAME"
"SAID01920744447",0,"DamageStatisticNoReload","500","",20,"#MASTERY_TRIAL_SNIPER_0_DESC","#MASTERY_TRIAL_SNIPER_0_NAME"
"SAID01920744447",1,"DownCount","1","IsOneShotKill:true",10,"#MASTERY_TRIAL_SNIPER_1_DESC","#MASTERY_TRIAL_SNIPER_1_NAME"
