"weaponRef","attachmentOverride","availableOptics","defaultOptic","supportedAttachmentOverride"
"mp_weapon_vinson_purpleset","","","optic_cq_hcog_bruiser",""
"mp_weapon_vinson_gold","","","optic_cq_hcog_bruiser",""
"mp_weapon_hemlok","","","",""
"mp_weapon_hemlok_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_hemlok_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
"mp_weapon_hemlok_purpleset","","","optic_ranged_aog_variable",""
"mp_weapon_hemlok_gold","","","optic_ranged_aog_variable",""
"mp_weapon_rspn101","","","",""
"mp_weapon_rspn101_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_rspn101_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
"mp_weapon_rspn101_purpleset","","","optic_cq_hcog_bruiser",""
"mp_weapon_rspn101_gold","","","optic_cq_hcog_bruiser",""
"mp_weapon_nemesis","","","",""
"mp_weapon_nemesis_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_nemesis_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_cq_hcog_bruiser",""
"mp_weapon_nemesis_purpleset","","","optic_cq_hcog_bruiser",""
"mp_weapon_nemesis_gold","","","optic_cq_hcog_bruiser",""
"mp_weapon_g2","","","",""
"mp_weapon_g2_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_g2_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_ranged_hcog",""
"mp_weapon_g2_purpleset","","","optic_ranged_aog_variable",""
"mp_weapon_g2_gold","","","optic_ranged_aog_variable",""
"mp_weapon_3030","","","",""
"mp_weapon_3030_whiteset","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_3030_blueset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_ranged_hcog",""
"mp_weapon_3030_purpleset","","","optic_ranged_aog_variable",""
"mp_weapon_3030_gold","","","optic_ranged_aog_variable",""
"mp_weapon_dmr","","optic_cq_hcog_classic","optic_cq_hcog_classic",""
"mp_weapon_dmr_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper","optic_sniper",""
"mp_weapon_dmr_blueset","","optic_ranged_hcog optic_ranged_aog_variable optic_sniper_variable optic_sniper_threat","optic_sniper_variable",""
"mp_weapon_dmr_purpleset","","","optic_sniper_threat",""
"mp_weapon_dmr_gold","","","optic_sniper_threat",""
"mp_weapon_sentinel","","optic_cq_hcog_classic","optic_cq_hcog_classic",""
"mp_weapon_sentinel_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper","optic_sniper",""
"mp_weapon_sentinel_blueset","","optic_ranged_hcog optic_ranged_aog_variable optic_sniper_variable optic_sniper_threat","optic_sniper_variable",""
"mp_weapon_sentinel_purpleset","","","optic_sniper_threat",""
"mp_weapon_sentinel_gold","","","optic_sniper_threat",""
"mp_weapon_doubletake","","optic_cq_hcog_classic optic_cq_holosight","optic_cq_hcog_classic",""
"mp_weapon_doubletake_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_ranged_hcog optic_ranged_aog_variable","optic_ranged_hcog",""
"mp_weapon_doubletake_blueset","","","optic_ranged_aog_variable",""
"mp_weapon_doubletake_purpleset","","","optic_ranged_aog_variable",""
"mp_weapon_doubletake_gold","","","optic_ranged_aog_variable",""
"mp_weapon_defender","","optic_cq_hcog_classic","optic_cq_hcog_classic",""
"mp_weapon_defender_whiteset","","optic_cq_hcog_bruiser optic_cq_holosight_variable optic_sniper","optic_sniper",""
"mp_weapon_defender_blueset","","optic_ranged_hcog optic_ranged_aog_variable optic_sniper_variable optic_sniper_threat","optic_sniper_variable",""
"mp_weapon_defender_purpleset","","","optic_sniper_threat",""
"mp_weapon_defender_gold","","","optic_sniper_threat",""
"mp_weapon_sniper","","","",""
"string","string","string","string","string"
