"event","notes","menuText","shortText","chatText","attachmentPoints","aliasSubname","hasCalm","hasCalmFar","hasUrgent","hasUrgentFar","subEvent","flavorEvent","defaultIcon","pingAsset","hasForcedTempVoice"
"PING_EQUIPMENT_HELMET_1","","","","#PING_TIERED_LOOT","","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_HELMET_1","","",false
"PING_EQUIPMENT_HELMET_2","","","","#PING_TIERED_LOOT","","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_HELMET_2","","",false
"PING_EQUIPMENT_HELMET_3","","","","#PING_TIERED_LOOT","","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_HELMET_3","","",false
"PING_EQUIPMENT_HELMET_4","","","","#PING_TIERED_LOOT","","ping_foundHelmet",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_HELMET_4","","",false
"PING_EQUIPMENT_BACKPACK_1","","","","#PING_TIERED_LOOT","","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_BACKPACK_1","","",false
"PING_EQUIPMENT_BACKPACK_2","","","","#PING_TIERED_LOOT","","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_BACKPACK_2","","",false
"PING_EQUIPMENT_BACKPACK_3","","","","#PING_TIERED_LOOT","","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_BACKPACK_3","","",false
"PING_EQUIPMENT_BACKPACK_4","","","","#PING_TIERED_LOOT","","ping_foundBackpack",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_BACKPACK_4","","",false
"PING_EQUIPMENT_INCAPSHIELD_1","","","","#PING_TIERED_LOOT","","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_EQUIPMENT_INCAPSHIELD_1","","",false
"PING_EQUIPMENT_INCAPSHIELD_2","","","","#PING_TIERED_LOOT","","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_EQUIPMENT_INCAPSHIELD_2","","",false
"PING_EQUIPMENT_INCAPSHIELD_3","","","","#PING_TIERED_LOOT","","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_EQUIPMENT_INCAPSHIELD_3","","",false
"PING_EQUIPMENT_INCAPSHIELD_4","","","","#PING_TIERED_LOOT","","ping_foundShieldKO",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_EQUIPMENT_INCAPSHIELD_4","","",false
"PING_ATTACHMENT_OPTIC_CQ_HCOG_1","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HCOG_1","","",false
"PING_ATTACHMENT_OPTIC_CQ_HCOG_2","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HCOG_2","","",false
"PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_1","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_1","","",false
"PING_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_2","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_HOLOSIGHT_2","","",false
"PING_ATTACHMENT_OPTIC_CQ_THREAT","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGECLOSE","FLAVOR_ATTACHMENT_OPTIC_CQ_THREAT","","",false
"PING_ATTACHMENT_OPTIC_RANGED_HCOG","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGEMID","FLAVOR_ATTACHMENT_OPTIC_RANGED_HCOG","","",false
"PING_ATTACHMENT_OPTIC_RANGED_AOG","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGEMID","FLAVOR_ATTACHMENT_OPTIC_RANGED_AOG","","",false
"PING_ATTACHMENT_OPTIC_SNIPER","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGESNIPER","FLAVOR_ATTACHMENT_OPTIC_SNIPER","","",false
"PING_ATTACHMENT_OPTIC_SNIPER_VARIABLE","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGESNIPER","FLAVOR_ATTACHMENT_OPTIC_SNIPER_VARIABLE","","",false
"PING_ATTACHMENT_OPTIC_SNIPER_THREAT","","","","#PING_LOOT","sight","ping_foundOptic",true,false,true,false,"SUB_TYPE_RANGESNIPER","FLAVOR_ATTACHMENT_OPTIC_SNIPER_THREAT","","",false
"PING_ATTACHMENT_MAG_BULLET_1","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagLight",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_MAG_BULLET_1","","",false
"PING_ATTACHMENT_MAG_BULLET_2","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagLight",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_MAG_BULLET_2","","",false
"PING_ATTACHMENT_MAG_BULLET_3","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagLight",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_MAG_BULLET_3","","",false
"PING_ATTACHMENT_MAG_BULLET_4","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagLight",true,false,true,false,"SUB_TYPE_LEVEL4","","","",false
"PING_ATTACHMENT_MAG_HIGHCAL_1","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagHeavy",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_MAG_HIGHCAL_1","","",false
"PING_ATTACHMENT_MAG_HIGHCAL_2","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagHeavy",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_MAG_HIGHCAL_2","","",false
"PING_ATTACHMENT_MAG_HIGHCAL_3","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagHeavy",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_MAG_HIGHCAL_3","","",false
"PING_ATTACHMENT_MAG_HIGHCAL_4","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagHeavy",true,false,true,false,"SUB_TYPE_LEVEL4","","","",false
"PING_ATTACHMENT_MAG_ENERGY_1","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagEnergy",true,false,true,false,"SUB_TYPE_LEVEL1","","","",false
"PING_ATTACHMENT_MAG_ENERGY_2","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagEnergy",true,false,true,false,"SUB_TYPE_LEVEL2","","","",false
"PING_ATTACHMENT_MAG_ENERGY_3","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagEnergy",true,false,true,false,"SUB_TYPE_LEVEL3","","","",false
"PING_ATTACHMENT_MAG_ENERGY_4","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagEnergy",true,false,true,false,"SUB_TYPE_LEVEL4","","","",false
"PING_ATTACHMENT_MAG_SNIPER_1","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagSniper",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_MAG_SNIPER_1","","",false
"PING_ATTACHMENT_MAG_SNIPER_2","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagSniper",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_MAG_SNIPER_2","","",false
"PING_ATTACHMENT_MAG_SNIPER_3","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagSniper",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_MAG_SNIPER_3","","",false
"PING_ATTACHMENT_MAG_SNIPER_4","","","","#PING_TIERED_LOOT","mag","ping_foundAmmoMagSniper",true,false,true,false,"SUB_TYPE_LEVEL4","","","",false
"PING_ATTACHMENT_SHOTGUN_BOLT_1","","","","#PING_TIERED_LOOT","mag","ping_foundShotgunBolt",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_SHOTGUN_BOLT_1","","",false
"PING_ATTACHMENT_SHOTGUN_BOLT_2","","","","#PING_TIERED_LOOT","mag","ping_foundShotgunBolt",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_SHOTGUN_BOLT_2","","",false
"PING_ATTACHMENT_SHOTGUN_BOLT_3","","","","#PING_TIERED_LOOT","mag","ping_foundShotgunBolt",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_SHOTGUN_BOLT_3","","",false
"PING_ATTACHMENT_SHOTGUN_BOLT_4","","","","#PING_TIERED_LOOT","mag","ping_foundShotgunBolt",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_ATTACHMENT_SHOTGUN_BOLT_3","","",false
"PING_ATTACHMENT_STOCK_STANDARD_1","","","","#PING_TIERED_LOOT","grip","ping_foundStockTactical",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_STOCK_STANDARD_1","","",false
"PING_ATTACHMENT_STOCK_STANDARD_2","","","","#PING_TIERED_LOOT","grip","ping_foundStockTactical",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_STOCK_STANDARD_2","","",false
"PING_ATTACHMENT_STOCK_STANDARD_3","","","","#PING_TIERED_LOOT","grip","ping_foundStockTactical",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_STOCK_STANDARD_3","","",false
"PING_ATTACHMENT_STOCK_SNIPER_1","","","","#PING_TIERED_LOOT","grip","ping_foundStockSniper",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_STOCK_SNIPER_1","","",false
"PING_ATTACHMENT_STOCK_SNIPER_2","","","","#PING_TIERED_LOOT","grip","ping_foundStockSniper",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_STOCK_SNIPER_2","","",false
"PING_ATTACHMENT_STOCK_SNIPER_3","","","","#PING_TIERED_LOOT","grip","ping_foundStockSniper",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_STOCK_SNIPER_3","","",false
"PING_ATTACHMENT_STOCK_SNIPER_4","","","","#PING_TIERED_LOOT","grip","ping_foundStockSniper",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_ATTACHMENT_STOCK_SNIPER_3","","",false
"PING_ATTACHMENT_BARREL_STABILIZER_1","","","","#PING_TIERED_LOOT","barrel","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_BARREL_STABILIZER_1","","",false
"PING_ATTACHMENT_BARREL_STABILIZER_2","","","","#PING_TIERED_LOOT","barrel","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_BARREL_STABILIZER_2","","",false
"PING_ATTACHMENT_BARREL_STABILIZER_3","","","","#PING_TIERED_LOOT","barrel","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_BARREL_STABILIZER_3","","",false
"PING_ATTACHMENT_BARREL_STABILIZER_4_FLASH_HIDER","! [jnel] updated for Flash Hider vo event","","","#PING_TIERED_LOOT","barrel","ping_foundBarrelStabilizer",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_ATTACHMENT_BARREL_STABILIZER_4_FLASH_HIDER","","",false
"PING_ATTACHMENT_LASER_SIGHT_1","","","","#PING_TIERED_LOOT","barrel","ping_foundLaserSight",true,false,true,false,"SUB_TYPE_LEVEL1","FLAVOR_ATTACHMENT_LASER_SIGHT_1","","",false
"PING_ATTACHMENT_LASER_SIGHT_2","","","","#PING_TIERED_LOOT","barrel","ping_foundLaserSight",true,false,true,false,"SUB_TYPE_LEVEL2","FLAVOR_ATTACHMENT_LASER_SIGHT_2","","",false
"PING_ATTACHMENT_LASER_SIGHT_3","","","","#PING_TIERED_LOOT","barrel","ping_foundLaserSight",true,false,true,false,"SUB_TYPE_LEVEL3","FLAVOR_ATTACHMENT_LASER_SIGHT_3","","",false
"PING_ATTACHMENT_LASER_SIGHT_4","","","","#PING_TIERED_LOOT","barrel","ping_foundLaserSight",true,false,true,false,"SUB_TYPE_LEVEL4","FLAVOR_ATTACHMENT_LASER_SIGHT_4","","",false
"PING_ATTACHMENT_HOPUP_TURBOCHARGER","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_TURBOCHARGER","FLAVOR_ATTACHMENT_HOPUP_TURBOCHARGER","","",false
"PING_ATTACHMENT_HOPUP_SELECTFIRE","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_SELECTFIRE","FLAVOR_ATTACHMENT_HOPUP_SELECTFIRE","","",false
"PING_ATTACHMENT_HOPUP_ENERGY_CHOKE","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_CHOKE","FLAVOR_ATTACHMENT_HOPUP_ENERGY_CHOKE","","",false
"PING_ATTACHMENT_HOPUP_HEADSHOT_DMG","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_SKULLPIERCER","FLAVOR_ATTACHMENT_HOPUP_HEADSHOT_DMG","","",false
"PING_ATTACHMENT_HOPUP_SHIELD_BREAKER","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_DISRUPTOR","","","",false
"PING_ATTACHMENT_HOPUP_UNSHIELDED_DMG","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_HAMMERPOINT","","","",false
"PING_ATTACHMENT_HOPUP_HIGHCAL_ROUNDS","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_HIGHCAL_ROUNDS","","","",false
"PING_ATTACHMENT_HOPUP_DOUBLE_TAP","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_DOUBLE_TAP","","","",false
"PING_ATTACHMENT_HOPUP_PAINTBALL","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"","","","",false
"PING_ATTACHMENT_HOPUP_SMART_RELOAD","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_BOOSTED_LOADER","","","",false
"PING_ATTACHMENT_HOPUP_MARKSMANS_TEMPO","","","","#PING_LOOT","hopup hopupMulti_b","ping_foundHopUp",true,false,true,false,"SUB_TYPE_MARKSMANS_TEMPO","","","",false
"PING_ATTACHMENT_HOPUP_QUICKDRAW_HOLSTER","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_QUICKDRAW_HOLSTER","","","",false
"PING_ATTACHMENT_HOPUP_SHATTER_ROUNDS","","","","#PING_LOOT","hopup hopupMulti_a","ping_foundHopUp",true,false,true,false,"SUB_TYPE_SHATTER_ROUNDS","","","",false
"PING_ATTACHMENT_HOPUP_DUAL_SHELL","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_DUAL_SHELL","","","",false
"PING_ATTACHMENT_HOPUP_KINETIC_FEEDER","","","","#PING_LOOT","hopup","ping_foundHopUp",true,false,true,false,"SUB_TYPE_KINETIC_FEEDER","","","",false
"PING_ITEM_COMBO_FULL","! [jnel] this is the Phoenix Kit.","","","#PING_LOOT","","ping_foundPhoenixKit",true,false,true,false,"","FLAVOR_ITEM_COMBO_FULL","","",false
"PING_ITEM_SHIELD_SMALL","","","","#PING_LOOT","","ping_foundShieldCell",true,false,true,false,"","","","",false
"PING_ITEM_SHIELD_LARGE","","","","#PING_LOOT","","ping_foundShieldBattery",true,false,true,false,"","","","",false
"PING_ITEM_HEALTH_SMALL","","","","#PING_LOOT","","ping_foundSyringe",true,false,true,false,"","FLAVOR_ITEM_HEALTH_SMALL","","",false
"PING_ITEM_HEALTH_MEDIUM","","","","#PING_LOOT","","ping_foundHealthMedium",true,false,true,false,"","FLAVOR_ITEM_HEALTH_MEDIUM","","",false
"PING_ITEM_HEALTH_LARGE","! [jnel] hooked up specific medKit instead of large health. MedKit script string shares with Large Health.","","","#PING_LOOT","","ping_foundMedKit",true,false,true,false,"","FLAVOR_ITEM_HEALTH_LARGE","","",false
"PING_ITEM_HEALTH_SYRINGE","","","","#PING_LOOT","","ping_foundSyringe",true,false,true,false,"","FLAVOR_ITEM_HEALTH_SYRINGE","","",false
"PING_ITEM_ULTIMATE_ENERGY","","","","#PING_LOOT","","ping_foundAccelerant",true,false,true,false,"","FLAVOR_ITEM_ULTIMATE_ENERGY","","",false
"PING_COLLECTIBLE_NESSIE","","","","#PING_NESSIE_LOOT","","",false,false,false,false,"","","","",false
"PING_MAP_WAYPOINT","","Waypoint","","","","",false,false,false,false,"","","rui/menu/dpad_comms/emoji/exclamation","",false
"PING_ITEM_ARMOR_SMALL","! Needs urgent/calm","","","#PING_LOOT","","",false,false,false,false,"","","","",false
"PING_LOCATION","","#PROMPT_PING_LOCATION","#PROMPT_PING_LOCATION_SHORT","#PING_LOCATION","","ping_spotDefault",true,true,true,true,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_go.rpak",false
"PING_DROP_SUGGESTION","","#PROMPT_PING_GO","#PROMPT_PING_GO_SHORT","#PING_GOTO","","ping_waypointDropship",true,false,false,false,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_go.rpak",false
"PING_WE_GO","","#PROMPT_PING_GO","#PROMPT_PING_GO_SHORT","#PING_GOTO","","ping_spotDefault",true,true,true,true,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_go.rpak",false
"PING_I_GO","","#PROMPT_PING_I_GO","#PROMPT_PING_I_GO_SHORT","#PING_I_GO","","ping_exploreGoPlayer",true,true,true,true,"","","rui/hud/ping/icon_ping_go_outer","settings/itemflav/ping/ping_i_go.rpak",false
"PING_I_WATCHING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_WATCHING","#PROMPT_PING_I_WATCHING_SHORT","#PING_I_WATCHING","","ping_watchingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_watch","settings/itemflav/ping/ping_watching.rpak",false
"PING_I_LOOTING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_LOOTING","#PROMPT_PING_I_LOOTING_SHORT","#PING_I_LOOTING","","ping_lootingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_loot","settings/itemflav/ping/ping_looting.rpak",false
"PING_I_DEFENDING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_DEFENDING","#PROMPT_PING_I_DEFENDING_SHORT","#PING_I_DEFENDING","","ping_defendingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_defense","settings/itemflav/ping/ping_defending.rpak",false
"PING_I_ATTACKING","! [jnel] hooked up specific vo events for these","#PROMPT_PING_I_ATTACKING","#PROMPT_PING_I_ATTACKING_SHORT","#PING_I_ATTACKING","","ping_attackingHere",true,true,true,true,"","","rui/hud/ping/icon_ping_attack","settings/itemflav/ping/ping_attacking.rpak",false
"PING_WE_ATTACK","","#PROMPT_PING_WE_ATTACK","#PROMPT_PING_WE_ATTACK_SHORT","#PING_WE_ATTACK","","ping_attackHere",true,true,true,true,"","","rui/hud/ping/icon_ping_attack","settings/itemflav/ping/ping_we_attack.rpak",false
