"mod","type","name","shortName","description","hopupPopupDesc","image","emptyImage","cost","costSniper","costPistol","costAT","attachmentPoint","ammoType","specialCaseInvalidReason","toggleMod","modelAsset"
"barrel_stabilizer_l4_flash_hider","barrel_flash","#GEAR_BARREL_STABILIZER_L4_NAME","#GEAR_BARREL_STABILIZER_L4_NAME","#GEAR_BARREL_STABILIZER_L4_DESC","","r2_ui/menus/loadout_icons/attachments/suppressor","r2_ui/menus/loadout_icons/attachments/suppressor",0,0,0,0,"barrel","","","",""
"laser_sight_l1","laser_sight","#GEAR_LASER_SIGHT_L1_NAME","#GEAR_LASER_SIGHT_L1_NAME","#GEAR_LASER_SIGHT_L1_DESC","","rui/pilot_loadout/mods/laser_sight","rui/pilot_loadout/mods/empty_laser_sight",0,0,0,0,"barrel","","","",""
"laser_sight_l2","laser_sight","#GEAR_LASER_SIGHT_L2_NAME","#GEAR_LASER_SIGHT_L2_NAME","#GEAR_LASER_SIGHT_L2_DESC","","rui/pilot_loadout/mods/laser_sight","rui/pilot_loadout/mods/empty_laser_sight",0,0,0,0,"barrel","","","",""
"laser_sight_l3","laser_sight","#GEAR_LASER_SIGHT_L3_NAME","#GEAR_LASER_SIGHT_L3_NAME","#GEAR_LASER_SIGHT_L3_DESC","","rui/pilot_loadout/mods/laser_sight","rui/pilot_loadout/mods/empty_laser_sight",0,0,0,0,"barrel","","","",""
"bullets_mag_l1","mag_straight","#MOD_bullets_MAG_L1_NAME","#MOD_bullets_MAG_L1_NAME","#MOD_bullets_MAG_L1_DESC","","rui/pilot_loadout/mods/TEMP_mag_straight","rui/pilot_loadout/mods/empty_mag_straight",0,0,0,0,"mag","bullet","#REASON_BULLETS_REQUIRED","",""
"bullets_mag_l2","mag_straight","#MOD_bullets_MAG_L2_NAME","#MOD_bullets_MAG_L2_NAME","#MOD_bullets_MAG_L2_DESC","","rui/pilot_loadout/mods/TEMP_mag_straight","rui/pilot_loadout/mods/empty_mag_straight",0,0,0,0,"mag","bullet","#REASON_BULLETS_REQUIRED","",""
"bullets_mag_l3","mag_straight","#MOD_bullets_MAG_L3_NAME","#MOD_bullets_MAG_L3_NAME","#MOD_bullets_MAG_L3_DESC","","rui/pilot_loadout/mods/TEMP_mag_straight","rui/pilot_loadout/mods/empty_mag_straight",0,0,0,0,"mag","bullet","#REASON_BULLETS_REQUIRED","",""
"bullets_mag_l4","mag_straight","#MOD_bullets_MAG_L4_NAME","#MOD_bullets_MAG_L4_NAME","#MOD_bullets_MAG_L4_DESC","","rui/pilot_loadout/mods/TEMP_mag_straight","rui/pilot_loadout/mods/empty_mag_straight",0,0,0,0,"mag","bullet","#REASON_BULLETS_REQUIRED","",""
"highcal_mag_l1","mag","#MOD_highcal_MAG_L1_NAME","#MOD_highcal_MAG_L1_NAME","#MOD_highcal_MAG_L1_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag",0,0,0,0,"mag","highcal","#REASON_HICAL_REQUIRED","",""
"highcal_mag_l2","mag","#MOD_highcal_MAG_L2_NAME","#MOD_highcal_MAG_L2_NAME","#MOD_highcal_MAG_L2_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag",0,0,0,0,"mag","highcal","#REASON_HICAL_REQUIRED","",""
"highcal_mag_l3","mag","#MOD_highcal_MAG_L3_NAME","#MOD_highcal_MAG_L3_NAME","#MOD_highcal_MAG_L3_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag",0,0,0,0,"mag","highcal","#REASON_HICAL_REQUIRED","",""
"highcal_mag_l4","mag","#MOD_highcal_MAG_L4_NAME","#MOD_highcal_MAG_L4_NAME","#MOD_highcal_MAG_L4_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag",0,0,0,0,"mag","highcal","#REASON_HICAL_REQUIRED","",""
"energy_mag_l1","mag_energy","#MOD_ENERGY_MAG_L1_NAME","#MOD_ENERGY_MAG_L1_NAME","#MOD_ENERGY_MAG_L1_DESC","","rui/pilot_loadout/mods/energy_mag","rui/pilot_loadout/mods/empty_energy_mag",0,0,0,0,"mag","special","#REASON_ENERGY_REQUIRED","",""
"energy_mag_l2","mag_energy","#MOD_ENERGY_MAG_L2_NAME","#MOD_ENERGY_MAG_L2_NAME","#MOD_ENERGY_MAG_L2_DESC","","rui/pilot_loadout/mods/energy_mag","rui/pilot_loadout/mods/empty_energy_mag",0,0,0,0,"mag","special","#REASON_ENERGY_REQUIRED","",""
"energy_mag_l3","mag_energy","#MOD_ENERGY_MAG_L3_NAME","#MOD_ENERGY_MAG_L3_NAME","#MOD_ENERGY_MAG_L3_DESC","","rui/pilot_loadout/mods/energy_mag","rui/pilot_loadout/mods/empty_energy_mag",0,0,0,0,"mag","special","#REASON_ENERGY_REQUIRED","",""
"energy_mag_l4","mag_energy","#MOD_ENERGY_MAG_L4_NAME","#MOD_ENERGY_MAG_L4_NAME","#MOD_ENERGY_MAG_L4_DESC","","rui/pilot_loadout/mods/energy_mag","rui/pilot_loadout/mods/empty_energy_mag",0,0,0,0,"mag","special","#REASON_ENERGY_REQUIRED","",""
"sniper_mag_l1","mag_sniper","#MOD_SNIPER_MAG_L1_NAME","#MOD_SNIPER_MAG_L1_NAME","#MOD_SNIPER_MAG_L1_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag_sniper",0,0,0,0,"mag","sniper","#REASON_SNIPER_REQUIRED","",""
"sniper_mag_l2","mag_sniper","#MOD_SNIPER_MAG_L2_NAME","#MOD_SNIPER_MAG_L2_NAME","#MOD_SNIPER_MAG_L2_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag_sniper",0,0,0,0,"mag","sniper","#REASON_SNIPER_REQUIRED","",""
"sniper_mag_l3","mag_sniper","#MOD_SNIPER_MAG_L3_NAME","#MOD_SNIPER_MAG_L3_NAME","#MOD_SNIPER_MAG_L3_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag_sniper",0,0,0,0,"mag","sniper","#REASON_SNIPER_REQUIRED","",""
"sniper_mag_l4","mag_sniper","#MOD_SNIPER_MAG_L4_NAME","#MOD_SNIPER_MAG_L4_NAME","#MOD_SNIPER_MAG_L4_DESC","","rui/pilot_loadout/mods/TEMP_mag","rui/pilot_loadout/mods/empty_mag_sniper",0,0,0,0,"mag","sniper","#REASON_SNIPER_REQUIRED","",""
"shotgun_bolt_l1","mag_shotgun","#MOD_SHOTGUN_BOLT_L1_NAME","#MOD_SHOTGUN_BOLT_L1_NAME","#MOD_SHOTGUN_BOLT_L1_DESC","","rui/pilot_loadout/mods/TEMP_mag_shotgun","rui/pilot_loadout/mods/empty_mag_shotgun",0,0,0,0,"mag","shotgun","#REASON_SHOTGUN_REQUIRED","",""
"shotgun_bolt_l2","mag_shotgun","#MOD_SHOTGUN_BOLT_L2_NAME","#MOD_SHOTGUN_BOLT_L2_NAME","#MOD_SHOTGUN_BOLT_L2_DESC","","rui/pilot_loadout/mods/TEMP_mag_shotgun","rui/pilot_loadout/mods/empty_mag_shotgun",0,0,0,0,"mag","shotgun","#REASON_SHOTGUN_REQUIRED","",""
"shotgun_bolt_l3","mag_shotgun","#MOD_SHOTGUN_BOLT_L3_NAME","#MOD_SHOTGUN_BOLT_L3_NAME","#MOD_SHOTGUN_BOLT_L3_DESC","","rui/pilot_loadout/mods/TEMP_mag_shotgun","rui/pilot_loadout/mods/empty_mag_shotgun",0,0,0,0,"mag","shotgun","#REASON_SHOTGUN_REQUIRED","",""
"shotgun_bolt_l4","mag_shotgun","#MOD_SHOTGUN_BOLT_L4_NAME","#MOD_SHOTGUN_BOLT_L4_NAME","#MOD_SHOTGUN_BOLT_L4_DESC","","rui/pilot_loadout/mods/TEMP_mag_shotgun","rui/pilot_loadout/mods/empty_mag_shotgun",0,0,0,0,"mag","shotgun","#REASON_SHOTGUN_REQUIRED","",""
"stock_tactical_l1","stock_tactical","#GEAR_STOCK_TACTICAL_L1_NAME","#GEAR_STOCK_TACTICAL_L1_NAME","#GEAR_STOCK_TACTICAL_L1_DESC","","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_tactical",0,0,0,0,"grip","","","",""
"stock_tactical_l2","stock_tactical","#GEAR_STOCK_TACTICAL_L2_NAME","#GEAR_STOCK_TACTICAL_L2_NAME","#GEAR_STOCK_TACTICAL_L2_DESC","","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_tactical",0,0,0,0,"grip","","","",""
"stock_tactical_l3","stock_tactical","#GEAR_STOCK_TACTICAL_L3_NAME","#GEAR_STOCK_TACTICAL_L3_NAME","#GEAR_STOCK_TACTICAL_L3_DESC","","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_tactical",0,0,0,0,"grip","","","",""
"stock_sniper_l1","stock_sniper","#GEAR_STOCK_SNIPER_L1_NAME","#GEAR_STOCK_SNIPER_L1_NAME","#GEAR_STOCK_SNIPER_L1_DESC","","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_sniper",0,0,0,0,"grip","","#REASON_SNIPER_REQUIRED","",""
"stock_sniper_l2","stock_sniper","#GEAR_STOCK_SNIPER_L2_NAME","#GEAR_STOCK_SNIPER_L2_NAME","#GEAR_STOCK_SNIPER_L2_DESC","","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_sniper",0,0,0,0,"grip","","#REASON_SNIPER_REQUIRED","",""
"stock_sniper_l3","stock_sniper","#GEAR_STOCK_SNIPER_L3_NAME","#GEAR_STOCK_SNIPER_L3_NAME","#GEAR_STOCK_SNIPER_L3_DESC","","rui/pilot_loadout/mods/TEMP_stock","rui/pilot_loadout/mods/empty_stock_sniper",0,0,0,0,"grip","","#REASON_SNIPER_REQUIRED","",""
"hopup_turbocharger","hopup_turbocharger","#WPN_HOPUP_TURBOCHARGER","#WPN_HOPUP_TURBOCHARGER_SHORT","#WPN_HOPUP_TURBOCHARGER_DESC","#WPN_HOPUP_TURBOCHARGER_POPUP_DESC","","rui/pilot_loadout/mods/empty_hopup_turbocharger",0,0,0,0,"hopup","","#REASON_ENERGY_AR_REQUIRED","",""
"hopup_selectfire","hopup_selectfire","#WPN_HOPUP_SELECTFIRE","#WPN_HOPUP_SELECTFIRE_SHORT","#WPN_HOPUP_SELECTFIRE_DESC","#WPN_HOPUP_SELECTFIRE_POPUP_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_autofire",0,0,0,0,"hopup hopupMulti_a","","#REASON_PROWLER_REQUIRED","altfire_selectfire",""
"hopup_energy_choke","hopup_em_choke","#WPN_HOPUP_ENERGY_CHOKE","#WPN_HOPUP_ENERGY_CHOKE_SHORT","#WPN_HOPUP_ENERGY_CHOKE_DESC","#WPN_HOPUP_ENERGY_CHOKE_POPUP_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_em_choke",0,0,0,0,"hopup","","#REASON_PEACEKEEPER_REQUIRED","choke",""
"hopup_headshot_dmg","hopup_skullpiercer","#WPN_HOPUP_HEADSHOT_DMG","#WPN_HOPUP_HEADSHOT_DMG_SHORT","#WPN_HOPUP_HEADSHOT_DMG_DESC","#WPN_HOPUP_HEADSHOT_DMG_POPUP_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_skullpiercer",0,0,0,0,"hopup","","#REASON_WINGMAN_REQUIRED","",""
"hopup_headshot_dmg_elite","hopup_skullpiercer_elite","#WPN_HOPUP_HEADSHOT_DMG_ELITE","#WPN_HOPUP_HEADSHOT_DMG_ELITE_SHORT","#WPN_HOPUP_HEADSHOT_DMG_ELITE_DESC","#WPN_HOPUP_HEADSHOT_DMG_ELITE_POPUP_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_skullpiercer",0,0,0,0,"hopup hopupMulti_a","","#REASON_WINGMAN_REQUIRED","",""
"hopup_headshot_dmg_elite_ghorse","hopup_skullpiercer_elite","#WPN_HOPUP_HEADSHOT_DMG_ELITE","#WPN_HOPUP_HEADSHOT_DMG_ELITE_SHORT","#WPN_HOPUP_HEADSHOT_DMG_ELITE_DESC","#WPN_HOPUP_HEADSHOT_DMG_ELITE_POPUP_DESC","rui/pilot_loadout/mods/TEMP_hopup","rui/pilot_loadout/mods/empty_hopup_skullpiercer",0,0,0,0,"hopup hopupMulti_a","","#REASON_WINGMAN_REQUIRED","",""
"hopup_shield_breaker","hopup_shield_breaker","#WPN_HOPUP_SHIELD_BREAKER","#WPN_HOPUP_SHIELD_BREAKER","#WPN_HOPUP_SHIELD_BREAKER_DESC","#WPN_HOPUP_SHIELD_BREAKER_POPUP_DESC","rui/pilot_loadout/mods/hopup_shield_breaker","rui/pilot_loadout/mods/empty_hopup_shield_breaker",0,0,0,0,"hopup","","","",""
"hopup_unshielded_dmg","hopup_unshielded_dmg","#WPN_HOPUP_UNSHIELDED_DMG","#WPN_HOPUP_UNSHIELDED_DMG","#WPN_HOPUP_UNSHIELDED_DMG_DESC","#WPN_HOPUP_UNSHIELDED_DMG_POPUP_DESC","rui/pilot_loadout/mods/hopup_unshielded_dmg","rui/pilot_loadout/mods/empty_hopup_unshielded_dmg",0,0,0,0,"hopup","","","",""
"hopup_highcal_rounds","hopup_highcal_rounds","#WPN_HOPUP_HIGHCAL_ROUNDS","#WPN_HOPUP_HIGHCAL_ROUNDS","#WPN_HOPUP_HIGHCAL_ROUNDS_DESC","#WPN_HOPUP_HIGHCAL_ROUNDS_POPUP_DESC","rui/pilot_loadout/mods/hopup_anvilreceiver","rui/pilot_loadout/mods/empty_hopup_anvilreceiver",0,0,0,0,"hopup","","","altfire_highcal",""
"hopup_double_tap","hopup_double_tap","#WPN_HOPUP_DOUBLE_TAP","#WPN_HOPUP_DOUBLE_TAP","#WPN_HOPUP_DOUBLE_TAP_DESC","#WPN_HOPUP_DOUBLE_TAP_POPUP_DESC","rui/pilot_loadout/mods/hopup_doubletap","rui/pilot_loadout/mods/empty_hopup_doubletap",0,0,0,0,"hopup","","","altfire_double_tap",""
"hopup_paintball","hopup_paintball","#WPN_HOPUP_PAINTBALL","#WPN_HOPUP_PAINTBALL","#WPN_HOPUP_PAINTBALL_DESC","#WPN_HOPUP_PAINTBALL_POPUP_DESC","rui/pilot_loadout/mods/hopup_doubletap","rui/pilot_loadout/mods/empty_hopup_doubletap",0,0,0,0,"hopup","","","",""
"paintball","paintball","#WPN_HOPUP_TT_PAINTBALL","#WPN_HOPUP_TT_PAINTBALL","#WPN_HOPUP_TT_PAINTBALL_DESC","#WPN_HOPUP_TT_PAINTBALL_POPUP_DESC","rui/pilot_loadout/mods/hopup_doubletap","rui/pilot_loadout/mods/empty_hopup_doubletap",0,0,0,0,"hopup","","","",""
"hopup_marksmans_tempo","hopup_marksmans_tempo","#WPN_HOPUP_MARKSMANS_TEMPO","#WPN_HOPUP_MARKSMANS_TEMPO","#WPN_HOPUP_MARKSMANS_TEMPO_DESC","#WPN_HOPUP_MARKSMANS_TEMPO_POPUP_DESC","rui/pilot_loadout/mods/hopup_marksmans_tempo","rui/pilot_loadout/mods/empty_hopup_marksmans_tempo",0,0,0,0,"hopup hopupMulti_b","","","",""
"hopup_quickdraw_holster","hopup_quickdraw_holster","#WPN_HOPUP_QUICKDRAW_HOLSTER","#WPN_HOPUP_QUICKDRAW_HOLSTER","#WPN_HOPUP_QUICKDRAW_HOLSTER_DESC","#WPN_HOPUP_QUICKDRAW_HOLSTER_POPUP_DESC","rui/pilot_loadout/mods/hopup_quickdraw_holster","rui/pilot_loadout/mods/empty_hopup_quickdraw_holster",0,0,0,0,"hopup","","","",""
"hopup_shatter_rounds","hopup_shatter_rounds","#WPN_HOPUP_SHATTER_ROUNDS","#WPN_HOPUP_SHATTER_ROUNDS","#WPN_HOPUP_SHATTER_ROUNDS_DESC","#WPN_HOPUP_SHATTER_ROUNDS_POPUP_DESC","rui/pilot_loadout/mods/hopup_shatter_caps","rui/pilot_loadout/mods/empty_hopup_shatter_caps",0,0,0,0,"hopup hopupMulti_a","","","altfire_shatter",""
"hopup_smart_reload","hopup_smart_reload","#WPN_HOPUP_SMART_RELOAD","#WPN_HOPUP_SMART_RELOAD","#WPN_HOPUP_SMART_RELOAD_DESC","#WPN_HOPUP_SMART_RELOAD_POPUP_DESC","rui/pilot_loadout/mods/hopup_smart_reload","rui/pilot_loadout/mods/hopup_smart_reload_empty",0,0,0,0,"hopup hopupMulti_b","","","",""
"hopup_kinetic_loader","hopup_kinetic_loader","#WPN_HOPUP_KINETIC_LOADER","#WPN_HOPUP_KINETIC_LOADER","#WPN_HOPUP_KINETIC_LOADER_DESC","#WPN_HOPUP_KINETIC_LOADER_POPUP_DESC","rui/pilot_loadout/mods/hopup_kinetic_feeder","rui/pilot_loadout/mods/empty_hopup_kinetic_feeder",0,0,0,0,"hopup","","","",""
"hopup_dual_loader","hopup_dual_loader","#WPN_HOPUP_DUAL_LOADER","#WPN_HOPUP_DUAL_LOADER","#WPN_HOPUP_DUAL_LOADER_DESC","#WPN_HOPUP_DUAL_LOADER_POPUP_DESC","rui/pilot_loadout/mods/hopup_dualshell","rui/pilot_loadout/mods/empty_hopup_dualshell",0,0,0,0,"hopup","","","",""
"hopup_golden_horse_blue","hopup_golden_horse_blue","#WPN_HOPUP_GOLDEN_HORSE_BLUE","#WPN_HOPUP_GOLDEN_HORSE_BLUE","#WPN_HOPUP_GOLDEN_HORSE_BLUE_DESC","#WPN_HOPUP_GOLDEN_HORSE_BLUE_POPUP_DESC","rui/pilot_loadout/mods/hopup_golden_horse_blue","rui/pilot_loadout/mods/empty_hopup_golden_horse_blue",0,0,0,0,"hopup hopupMulti_b","","","",""
"hopup_golden_horse_green","hopup_golden_horse_green","#WPN_HOPUP_GOLDEN_HORSE_GREEN","#WPN_HOPUP_GOLDEN_HORSE_GREEN","#WPN_HOPUP_GOLDEN_HORSE_GREEN_DESC","#WPN_HOPUP_GOLDEN_HORSE_GREEN_POPUP_DESC","rui/pilot_loadout/mods/hopup_golden_horse_green","rui/pilot_loadout/mods/empty_hopup_golden_horse_green",0,0,0,0,"hopup hopupMulti_b","","","",""
"hopup_golden_horse_yellow","hopup_golden_horse_yellow","#WPN_HOPUP_GOLDEN_HORSE_YELLOW","#WPN_HOPUP_GOLDEN_HORSE_YELLOW","#WPN_HOPUP_GOLDEN_HORSE_YELLOW_DESC","#WPN_HOPUP_GOLDEN_HORSE_YELLOW_POPUP_DESC","rui/pilot_loadout/mods/hopup_golden_horse_yellow","rui/pilot_loadout/mods/empty_hopup_golden_horse_yellow",0,0,0,0,"hopup hopupMulti_b","","","",""
"hopup_golden_horse_purple","hopup_golden_horse_purple","#WPN_HOPUP_GOLDEN_HORSE_PURPLE","#WPN_HOPUP_GOLDEN_HORSE_PURPLE","#WPN_HOPUP_GOLDEN_HORSE_PURPLE_DESC","#WPN_HOPUP_GOLDEN_HORSE_PURPLE_POPUP_DESC","rui/pilot_loadout/mods/hopup_golden_horse_purple","rui/pilot_loadout/mods/empty_hopup_golden_horse_purple",0,0,0,0,"hopup hopupMulti_b","","","",""
"hopup_golden_horse_red","hopup_golden_horse_red","#WPN_HOPUP_GOLDEN_HORSE_RED","#WPN_HOPUP_GOLDEN_HORSE_RED","#WPN_HOPUP_GOLDEN_HORSE_RED_DESC","#WPN_HOPUP_GOLDEN_HORSE_RED_POPUP_DESC","rui/pilot_loadout/mods/hopup_golden_horse_red","rui/pilot_loadout/mods/empty_hopup_golden_horse_red",0,0,0,0,"hopup hopupMulti_b","","","",""
"string","string","string","string","string","string","asset_noprecache","asset_noprecache","int","int","int","int","string","string","string","string","string"
