"notes","weaponName","tierLevel","rewards","finalRewardType","isAllWeaponReward","specialBadge","rewardsNotes"
"chargerifle - lv 100","SAID00107352658",4,"SAID01644501897",0,false,"","itemflav\pack\mastery_chargerifle"
"chargerifle - final reward","SAID00107352658",-1,"SAID01647949195",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery21"
"devotion - lv 20","SAID00352110003",0,"SAID01130848953",0,false,"SAID01130848953","itemflav\gcard_badge\account\mastery_devotion"
"devotion - lv 40","SAID00352110003",1,"SAID01275598180",0,false,"","itemflav\gcard_tracker\mastery_devotion_kills"
"devotion - lv 60","SAID00352110003",2,"SAID01130848953",0,false,"SAID01130848953","itemflav\gcard_badge\account\mastery_devotion"
"devotion - lv 80","SAID00352110003",3,"SAID01834219860",0,false,"","itemflav\gcard_tracker\mastery_devotion_damage_done"
"devotion - lv 100","SAID00352110003",4,"SAID01131448375",0,false,"","itemflav\pack\mastery_devotion"
"devotion - final reward","SAID00352110003",-1,"SAID01341470799",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery06"
"dmr - lv 20","SAID00908539842",0,"SAID01561986109",0,false,"SAID01561986109","itemflav\gcard_badge\account\mastery_longbow"
"dmr - lv 40","SAID00908539842",1,"SAID00028728202",0,false,"","itemflav\gcard_tracker\mastery_longbow_kills"
"dmr - lv 60","SAID00908539842",2,"SAID01561986109",0,false,"SAID01561986109","itemflav\gcard_badge\account\mastery_longbow"
"dmr - lv 80","SAID00908539842",3,"SAID00697597018",0,false,"","itemflav\gcard_tracker\mastery_longbow_damage_done"
"dmr - lv 100","SAID00908539842",4,"SAID01977486698",0,false,"","itemflav\pack\mastery_longbow"
"dmr - final reward","SAID00908539842",-1,"SAID00254193125",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery23"
"energy_ar - lv 20","SAID01820095990",0,"SAID01115856201",0,false,"SAID01115856201","itemflav\gcard_badge\account\mastery_havoc"
"energy_ar - lv 40","SAID01820095990",1,"SAID01658590076",0,false,"","itemflav\gcard_tracker\mastery_havoc_kills"
"energy_ar - lv 60","SAID01820095990",2,"SAID01115856201",0,false,"SAID01115856201","itemflav\gcard_badge\account\mastery_havoc"
"energy_ar - lv 80","SAID01820095990",3,"SAID01988037323",0,false,"","itemflav\gcard_tracker\mastery_havoc_damage_done"
"energy_ar - lv 100","SAID01820095990",4,"SAID00364062042",0,false,"","itemflav\pack\mastery_energyar"
"energy_ar - final reward","SAID01820095990",-1,"SAID00670553237",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery02"
"eva - lv 20","SAID01928357643",0,"SAID01557511634",0,false,"SAID01557511634","itemflav\gcard_badge\account\mastery_eva8"
"eva - lv 40","SAID01928357643",1,"SAID01026857865",0,false,"","itemflav\gcard_tracker\mastery_eva8_kills"
"eva - lv 60","SAID01928357643",2,"SAID01557511634",0,false,"SAID01557511634","itemflav\gcard_badge\account\mastery_eva8"
"eva - lv 80","SAID01928357643",3,"SAID00625508574",0,false,"","itemflav\gcard_tracker\mastery_eva8_damage_done"
"eva - lv 100","SAID01928357643",4,"SAID02004598969",0,false,"","itemflav\pack\mastery_eva"
"eva - final reward","SAID01928357643",-1,"SAID00210462975",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery17"
"flatline - lv 20","SAID01870377113",0,"SAID01238976792",0,false,"SAID01238976792","itemflav\gcard_badge\account\mastery_flatline"
"flatline - lv 40","SAID01870377113",1,"SAID00929208222",0,false,"","itemflav\gcard_tracker\mastery_flatline_kills"
"flatline - lv 60","SAID01870377113",2,"SAID01238976792",0,false,"SAID01238976792","itemflav\gcard_badge\account\mastery_flatline"
"flatline - lv 80","SAID01870377113",3,"SAID01947739396",0,false,"","itemflav\gcard_tracker\mastery_flatline_damage_done"
"flatline - lv 100","SAID01870377113",4,"SAID01784555621",0,false,"","itemflav\pack\mastery_flatline"
"flatline - final reward","SAID01870377113",-1,"SAID00390967149",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery01"
"g7 - lv 20","SAID00909655776",0,"SAID01987324615",0,false,"SAID01987324615","itemflav\gcard_badge\account\mastery_g7"
"g7 - lv 40","SAID00909655776",1,"SAID01639072583",0,false,"","itemflav\gcard_tracker\mastery_g7_kills"
"g7 - lv 60","SAID00909655776",2,"SAID01987324615",0,false,"SAID01987324615","itemflav\gcard_badge\account\mastery_g7"
"g7 - lv 80","SAID00909655776",3,"SAID00850266835",0,false,"","itemflav\gcard_tracker\mastery_g7_damage_done"
"g7 - lv 100","SAID00909655776",4,"SAID01828120819",0,false,"","itemflav\pack\mastery_g7"
"g7 - final reward","SAID00909655776",-1,"SAID00965037023",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery12"
"hemlok - lv 20","SAID01082669812",0,"SAID02010802784",0,false,"SAID02010802784","itemflav\gcard_badge\account\mastery_hemlok"
"hemlok - lv 40","SAID01082669812",1,"SAID02003913748",0,false,"","itemflav\gcard_tracker\mastery_hemlok_kills"
"hemlok - lv 60","SAID01082669812",2,"SAID02010802784",0,false,"SAID02010802784","itemflav\gcard_badge\account\mastery_hemlok"
"hemlok - lv 80","SAID01082669812",3,"SAID02091015939",0,false,"","itemflav\gcard_tracker\mastery_hemlok_damage_done"
"hemlok - lv 100","SAID01082669812",4,"SAID01355244744",0,false,"","itemflav\pack\mastery_hemlok"
"hemlok - final reward","SAID01082669812",-1,"SAID00207155074",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery03"
"kraber - lv 20","SAID01920744447",0,"SAID01539219522",0,false,"SAID01539219522","itemflav\gcard_badge\account\mastery_kraber"
"kraber - lv 40","SAID01920744447",1,"SAID01644055920",0,false,"","itemflav\gcard_tracker\mastery_kraber_kills"
"kraber - lv 60","SAID01920744447",2,"SAID01539219522",0,false,"SAID01539219522","itemflav\gcard_badge\account\mastery_kraber"
"kraber - lv 80","SAID01920744447",3,"SAID01028193488",0,false,"","itemflav\gcard_tracker\mastery_kraber_damage_done"
"kraber - lv 100","SAID01920744447",4,"SAID01686155279",0,false,"","itemflav\pack\mastery_kraber"
"kraber - final reward","SAID01920744447",-1,"SAID01643285343",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery22"
"lstar - lv 20","SAID00194888968",0,"SAID02030558063",0,false,"SAID02030558063","itemflav\gcard_badge\account\mastery_lstar"
"lstar - lv 40","SAID00194888968",1,"SAID00380182561",0,false,"","itemflav\gcard_tracker\mastery_lstar_kills"
"lstar - lv 60","SAID00194888968",2,"SAID02030558063",0,false,"SAID02030558063","itemflav\gcard_badge\account\mastery_lstar"
"lstar - lv 80","SAID00194888968",3,"SAID00633616950",0,false,"","itemflav\gcard_tracker\mastery_lstar_damage_done"
"lstar - lv 100","SAID00194888968",4,"SAID00209427148",0,false,"","itemflav\pack\mastery_lstar"
"lstar - final reward","SAID00194888968",-1,"SAID00995959148",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery07"
"mastiff - lv 20","SAID00418361060",0,"SAID00835155079",0,false,"SAID00835155079","itemflav\gcard_badge\account\mastery_mastiff"
"mastiff - lv 40","SAID00418361060",1,"SAID00938445599",0,false,"","itemflav\gcard_tracker\mastery_mastiff_kills"
"mastiff - lv 60","SAID00418361060",2,"SAID00835155079",0,false,"SAID00835155079","itemflav\gcard_badge\account\mastery_mastiff"
"mastiff - lv 80","SAID00418361060",3,"SAID00597368221",0,false,"","itemflav\gcard_tracker\mastery_mastiff_damage_done"
"mastiff - lv 100","SAID00418361060",4,"SAID01803170186",0,false,"","itemflav\pack\mastery_mastiff"
"mastiff - final reward","SAID00418361060",-1,"SAID01786197435",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery18"
"mozambique - lv 20","SAID00945439943",0,"SAID01897786779",0,false,"SAID01897786779","itemflav\gcard_badge\account\mastery_mozambique"
"mozambique - lv 40","SAID00945439943",1,"SAID00484990177",0,false,"","itemflav\gcard_tracker\mastery_mozambique_kills"
"mozambique - lv 60","SAID00945439943",2,"SAID01897786779",0,false,"SAID01897786779","itemflav\gcard_badge\account\mastery_mozambique"
"mozambique - lv 80","SAID00945439943",3,"SAID02029090992",0,false,"","itemflav\gcard_tracker\mastery_mozambique_damage_done"
"mozambique - lv 100","SAID00945439943",4,"SAID01422443596",0,false,"","itemflav\pack\mastery_mozambique"
"mozambique - final reward","SAID00945439943",-1,"SAID01680855226",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery19"
"pdw - lv 20","SAID01496005473",0,"SAID00385575058",0,false,"SAID00385575058","itemflav\gcard_badge\account\mastery_prowler"
"pdw - lv 40","SAID01496005473",1,"SAID00402068861",0,false,"","itemflav\gcard_tracker\mastery_prowler_kills"
"pdw - lv 60","SAID01496005473",2,"SAID00385575058",0,false,"SAID00385575058","itemflav\gcard_badge\account\mastery_prowler"
"pdw - lv 80","SAID01496005473",3,"SAID01749772671",0,false,"","itemflav\gcard_tracker\mastery_prowler_damage_done"
"pdw - lv 100","SAID01496005473",4,"SAID00175626879",0,false,"","itemflav\pack\mastery_prowler"
"pdw - final reward","SAID01496005473",-1,"SAID01263309170",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery27"
"peacekeeper - lv 20","SAID01388774763",0,"SAID00088572705",0,false,"SAID00088572705","itemflav\gcard_badge\account\mastery_peacekeeper"
"peacekeeper - lv 40","SAID01388774763",1,"SAID00936007865",0,false,"","itemflav\gcard_tracker\mastery_peacekeeper_kills"
"peacekeeper - lv 60","SAID01388774763",2,"SAID00088572705",0,false,"SAID00088572705","itemflav\gcard_badge\account\mastery_peacekeeper"
"peacekeeper - lv 80","SAID01388774763",3,"SAID01861643058",0,false,"","itemflav\gcard_tracker\mastery_peacekeeper_damage_done"
"peacekeeper - lv 100","SAID01388774763",4,"SAID00838259609",0,false,"","itemflav\pack\mastery_peacekeeper"
"peacekeeper - final reward","SAID01388774763",-1,"SAID01925506858",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery20"
"r301 - lv 20","SAID00048783537",0,"SAID00931796366",0,false,"SAID00931796366","itemflav\gcard_badge\account\mastery_r301"
"r301 - lv 40","SAID00048783537",1,"SAID01487125419",0,false,"","itemflav\gcard_tracker\mastery_r301_kills"
"r301 - lv 60","SAID00048783537",2,"SAID00931796366",0,false,"SAID00931796366","itemflav\gcard_badge\account\mastery_r301"
"r301 - lv 80","SAID00048783537",3,"SAID00638728833",0,false,"","itemflav\gcard_tracker\mastery_r301_damage_done"
"r301 - lv 100","SAID00048783537",4,"SAID01335319441",0,false,"","itemflav\pack\mastery_r301"
"r301 - final reward","SAID00048783537",-1,"SAID01286200527",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery05"
"r97 - lv 20","SAID00080404303",0,"SAID00206010958",0,false,"SAID00206010958","itemflav\gcard_badge\account\mastery_r99"
"r97 - lv 40","SAID00080404303",1,"SAID02126664455",0,false,"","itemflav\gcard_tracker\mastery_r99_kills"
"r97 - lv 60","SAID00080404303",2,"SAID00206010958",0,false,"SAID00206010958","itemflav\gcard_badge\account\mastery_r99"
"r97 - lv 80","SAID00080404303",3,"SAID01817644462",0,false,"","itemflav\gcard_tracker\mastery_r99_damage_done"
"r97 - lv 100","SAID00080404303",4,"SAID00831652212",0,false,"","itemflav\pack\mastery_r97"
"r97 - final reward","SAID00080404303",-1,"SAID00403711301",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery28"
"semipistol - lv 20","SAID00970511567",0,"SAID01576123735",0,false,"SAID01576123735","itemflav\gcard_badge\account\mastery_p2020"
"semipistol - lv 40","SAID00970511567",1,"SAID01491357391",0,false,"","itemflav\gcard_tracker\mastery_p2020_kills"
"semipistol - lv 60","SAID00970511567",2,"SAID01576123735",0,false,"SAID01576123735","itemflav\gcard_badge\account\mastery_p2020"
"semipistol - lv 80","SAID00970511567",3,"SAID00236708550",0,false,"","itemflav\gcard_tracker\mastery_p2020_damage_done"
"semipistol - lv 100","SAID00970511567",4,"SAID01413102106",0,false,"","itemflav\pack\mastery_p2020"
"semipistol - final reward","SAID00970511567",-1,"SAID00036104987",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery14"
"sentinel - lv 20","SAID00947460272",0,"SAID01990458146",0,false,"SAID01990458146","itemflav\gcard_badge\account\mastery_sentinel"
"sentinel - lv 40","SAID00947460272",1,"SAID01729141838",0,false,"","itemflav\gcard_tracker\mastery_sentinel_kills"
"sentinel - lv 60","SAID00947460272",2,"SAID01990458146",0,false,"SAID01990458146","itemflav\gcard_badge\account\mastery_sentinel"
"sentinel - lv 80","SAID00947460272",3,"SAID02019647868",0,false,"","itemflav\gcard_tracker\mastery_sentinel_damage_done"
"sentinel - lv 100","SAID00947460272",4,"SAID00803888444",0,false,"","itemflav\pack\mastery_sentinel"
"sentinel - final reward","SAID00947460272",-1,"SAID01222444869",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery24"
"spitfire - lv 20","SAID01363034817",0,"SAID01966006477",0,false,"SAID01966006477","itemflav\gcard_badge\account\mastery_spitfire"
"spitfire - lv 40","SAID01363034817",1,"SAID00239838432",0,false,"","itemflav\gcard_tracker\mastery_spitfire_kills"
"spitfire - lv 60","SAID01363034817",2,"SAID01966006477",0,false,"SAID01966006477","itemflav\gcard_badge\account\mastery_spitfire"
"spitfire - lv 80","SAID01363034817",3,"SAID00043299318",0,false,"","itemflav\gcard_tracker\mastery_spitfire_damage_done"
"spitfire - lv 100","SAID01363034817",4,"SAID00491022310",0,false,"","itemflav\pack\mastery_spitfire"
"spitfire - final reward","SAID01363034817",-1,"SAID01660205577",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery09"
"tripletake - lv 20","SAID01603172346",0,"SAID01271295609",0,false,"SAID01271295609","itemflav\gcard_badge\account\mastery_tripletake"
"tripletake - lv 40","SAID01603172346",1,"SAID02007307243",0,false,"","itemflav\gcard_tracker\mastery_tripletake_kills"
"tripletake - lv 60","SAID01603172346",2,"SAID01271295609",0,false,"SAID01271295609","itemflav\gcard_badge\account\mastery_tripletake"
"tripletake - lv 80","SAID01603172346",3,"SAID01197063752",0,false,"","itemflav\gcard_tracker\mastery_tripletake_damage_done"
"tripletake - lv 100","SAID01603172346",4,"SAID01170227344",0,false,"","itemflav\pack\mastery_tripletake"
"tripletake - final reward","SAID01603172346",-1,"SAID00729628218",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery13"
"wingman - lv 20","SAID02091853053",0,"SAID00760755603",0,false,"SAID00760755603","itemflav\gcard_badge\account\mastery_wingman"
"wingman - lv 40","SAID02091853053",1,"SAID00374370944",0,false,"","itemflav\gcard_tracker\mastery_wingman_kills"
"wingman - lv 60","SAID02091853053",2,"SAID00760755603",0,false,"SAID00760755603","itemflav\gcard_badge\account\mastery_wingman"
"wingman - lv 80","SAID02091853053",3,"SAID01653814247",0,false,"","itemflav\gcard_tracker\mastery_wingman_damage_done"
"wingman - lv 100","SAID02091853053",4,"SAID00217825524",0,false,"","itemflav\pack\mastery_wingman"
"wingman - final reward","SAID02091853053",-1,"SAID02119881760",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery16"
"volt - lv 20","SAID00342631558",0,"SAID00493618120",0,false,"SAID00493618120","itemflav\gcard_badge\account\mastery_volt"
"volt - lv 40","SAID00342631558",1,"SAID01884937289",0,false,"","itemflav\gcard_tracker\mastery_volt_kills"
"volt - lv 60","SAID00342631558",2,"SAID00493618120",0,false,"SAID00493618120","itemflav\gcard_badge\account\mastery_volt"
"volt - lv 80","SAID00342631558",3,"SAID01212129713",0,false,"","itemflav\gcard_tracker\mastery_volt_damage_done"
"volt - lv 100","SAID00342631558",4,"SAID00680887377",0,false,"","itemflav\pack\mastery_volt"
"volt - final reward","SAID00342631558",-1,"SAID00519900182",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery29"
"3030repeater - lv 20","SAID01408780340",0,"SAID02134229403",0,false,"SAID02134229403","itemflav\gcard_badge\account\mastery_repeater3030"
"3030repeater - lv 40","SAID01408780340",1,"SAID01211478938",0,false,"","itemflav\gcard_tracker\mastery_repeater3030_kills"
"3030repeater - lv 60","SAID01408780340",2,"SAID02134229403",0,false,"SAID02134229403","itemflav\gcard_badge\account\mastery_repeater3030"
"3030repeater - lv 80","SAID01408780340",3,"SAID00361656283",0,false,"","itemflav\gcard_tracker\mastery_repeater3030_damage_done"
"3030repeater - lv 100","SAID01408780340",4,"SAID00577591878",0,false,"","itemflav\pack\mastery_3030repeater"
"3030repeater - final reward","SAID01408780340",-1,"SAID00909768333",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery10"
"compound_bow - lv 20","SAID01644528094",0,"SAID01005173779",0,false,"SAID01005173779","itemflav\gcard_badge\account\mastery_compound"
"compound_bow - lv 40","SAID01644528094",1,"SAID01838164688",0,false,"","itemflav\gcard_tracker\mastery_compound_kills"
"compound_bow - lv 60","SAID01644528094",2,"SAID01005173779",0,false,"SAID01005173779","itemflav\gcard_badge\account\mastery_compound"
"compound_bow - lv 80","SAID01644528094",3,"SAID02090803602",0,false,"","itemflav\gcard_tracker\mastery_compound_damage_done"
"compound_bow - lv 100","SAID01644528094",4,"SAID00743123875",0,false,"","itemflav\pack\mastery_bow"
"compound_bow - final reward","SAID01644528094",-1,"SAID00167821103",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery11"
"dragon - lv 20","SAID02050922236",0,"SAID01986671063",0,false,"SAID01986671063","itemflav\gcard_badge\account\mastery_dragon"
"dragon - lv 40","SAID02050922236",1,"SAID00574167868",0,false,"","itemflav\gcard_tracker\mastery_dragon_kills"
"dragon - lv 60","SAID02050922236",2,"SAID01986671063",0,false,"SAID01986671063","itemflav\gcard_badge\account\mastery_dragon"
"dragon - lv 80","SAID02050922236",3,"SAID00743756577",0,false,"","itemflav\gcard_tracker\mastery_dragon_damage_done"
"dragon - lv 100","SAID02050922236",4,"SAID00367560445",0,false,"","itemflav\pack\mastery_dragon"
"dragon - final reward","SAID02050922236",-1,"SAID00914999290",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery08"
"car - lv 20","SAID01981891556",0,"SAID02094423167",0,false,"SAID02094423167","itemflav\gcard_badge\account\mastery_car"
"car - lv 40","SAID01981891556",1,"SAID00120265613",0,false,"","itemflav\gcard_tracker\mastery_car_kills"
"car - lv 60","SAID01981891556",2,"SAID02094423167",0,false,"SAID02094423167","itemflav\gcard_badge\account\mastery_car"
"car - lv 80","SAID01981891556",3,"SAID02036267369",0,false,"","itemflav\gcard_tracker\mastery_car_damage_done"
"car - lv 100","SAID01981891556",4,"SAID01451517219",0,false,"","itemflav\pack\mastery_car"
"car - final reward","SAID01981891556",-1,"SAID00550041718",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery26"
"nemesis - lv 20","SAID01580685432",0,"SAID00690773014",0,false,"SAID00690773014","itemflav\gcard_badge\account\mastery_nemesis"
"nemesis - lv 40","SAID01580685432",1,"SAID02023543158",0,false,"","itemflav\gcard_tracker\mastery_nemesis_kills"
"nemesis - lv 60","SAID01580685432",2,"SAID00690773014",0,false,"SAID00690773014","itemflav\gcard_badge\account\mastery_nemesis"
"nemesis - lv 80","SAID01580685432",3,"SAID00429856743",0,false,"","itemflav\gcard_tracker\mastery_nemesis_damage_done"
"nemesis - lv 100","SAID01580685432",4,"SAID01977198902",0,false,"","itemflav\pack\mastery_nemesis"
"nemesis - final reward","SAID01580685432",-1,"SAID01314244292",1,false,"","itemflav\gcard_frame\shared\lgnd_v22_mastery04"
"string","string","int","string","int","bool","string","string"
