"gameMode","cardType","section","calcMethod","label","statRef","mathRef"
"arenas","career","body","simple","#STATS_CARD_KILLSTREAK_LONGEST","CAREER_STATS.modes_kills_max_single_game",""
"arenas","career","body","simple","#STATS_CARD_KNOCKOUTS","CAREER_STATS.modes_dooms",""
"arenas","career","body","simple","#STATS_CARD_ASSISTS","CAREER_STATS.modes_assists",""
"arenas","career","body","simple","#STATS_CARD_WINSTREAK_LONGEST","CAREER_STATS.modes_win_streak_longest",""
"arenas","career","body","simple","#STATS_CARD_TEAMMATES_REVIVED","CAREER_STATS.modes_revived_ally",""
"arenas","season","header","simple","#STATS_SEASON_TOTAL_GAMES","CAREER_STATS.modes_season_games_played",""
"arenas","season","header","simple","#STATS_SEASON_TOTAL_WINS","CAREER_STATS.modes_season_placements_win",""
"arenas","season","header","math_winrate","#STATS_SEASON_TOTAL_WINRATE","CAREER_STATS.modes_season_placements_win","CAREER_STATS.modes_season_games_played"
"arenas","season","body","simple","#STATS_SEASON_TOTAL_DAMAGE","CAREER_STATS.modes_season_damage_done",""
"arenas","season","body","simple","#STATS_CARD_DAMAGE_HIGHEST","CAREER_STATS.modes_season_damage_done_max_single_game",""
"arenas","season","body","math_divide","#STATS_CARD_DAMAGE_AVG","CAREER_STATS.modes_season_damage_done","CAREER_STATS.modes_season_games_played"
"arenas","season","body","simple","#STATS_SEASON_TOTAL_KILLS","CAREER_STATS.modes_season_kills",""
"arenas","season","body","simple","#STATS_CARD_DEATHS","CAREER_STATS.modes_season_deaths",""
"arenas","season","body","math_divide","#STATS_CARD_KDR","CAREER_STATS.modes_season_kills","CAREER_STATS.modes_season_deaths"
"arenas","season","body","simple","#STATS_CARD_KILLSTREAK_LONGEST","CAREER_STATS.modes_season_kills_max_single_game",""
"arenas","season","body","simple","#STATS_CARD_KNOCKOUTS","CAREER_STATS.modes_season_dooms",""
"arenas","season","body","simple","#STATS_CARD_ASSISTS","CAREER_STATS.modes_season_assists",""
"arenas","season","body","simple","#STATS_CARD_WINSTREAK_LONGEST","CAREER_STATS.modes_season_win_streak_longest",""
"arenas","season","body","simple","#STATS_CARD_TEAMMATES_REVIVED","CAREER_STATS.modes_season_revived_ally",""
"arenas","rankedperiod","header","simple","#STATS_SEASON_TOTAL_GAMES","CAREER_STATS.arenas_rankedperiod_games_played",""
"arenas","rankedperiod","header","simple","#STATS_SEASON_TOTAL_WINS","CAREER_STATS.arenas_rankedperiod_placements_win",""
"arenas","rankedperiod","header","math_winrate","#STATS_SEASON_TOTAL_WINRATE","CAREER_STATS.arenas_rankedperiod_placements_win","CAREER_STATS.arenas_rankedperiod_games_played"
"arenas","rankedperiod","body","simple","#STATS_SEASON_TOTAL_DAMAGE","CAREER_STATS.arenas_rankedperiod_damage_done",""
"arenas","rankedperiod","body","simple","#STATS_CARD_DAMAGE_HIGHEST","CAREER_STATS.arenas_rankedperiod_damage_done_max_single_game",""
"arenas","rankedperiod","body","math_divide","#STATS_CARD_DAMAGE_AVG","CAREER_STATS.arenas_rankedperiod_damage_done","CAREER_STATS.arenas_rankedperiod_games_played"
"arenas","rankedperiod","body","simple","#STATS_SEASON_TOTAL_KILLS","CAREER_STATS.arenas_rankedperiod_kills",""
"arenas","rankedperiod","body","simple","#STATS_CARD_DEATHS","CAREER_STATS.arenas_rankedperiod_deaths",""
"arenas","rankedperiod","body","math_divide","#STATS_CARD_KDR","CAREER_STATS.arenas_rankedperiod_kills","CAREER_STATS.arenas_rankedperiod_deaths"
"arenas","rankedperiod","body","simple","#STATS_CARD_KILLSTREAK_LONGEST","CAREER_STATS.arenas_rankedperiod_kills_max_single_game",""
"arenas","rankedperiod","body","simple","#STATS_CARD_KNOCKOUTS","CAREER_STATS.arenas_rankedperiod_dooms",""
"arenas","rankedperiod","body","simple","#STATS_CARD_ASSISTS","CAREER_STATS.arenas_rankedperiod_assists",""
"arenas","rankedperiod","body","simple","#STATS_CARD_WINSTREAK_LONGEST","CAREER_STATS.arenas_rankedperiod_win_streak_longest_new",""
"arenas","rankedperiod","body","simple","#STATS_CARD_TEAMMATES_REVIVED","CAREER_STATS.arenas_rankedperiod_revived_ally",""
"arenas","rankedcareer","header","simple","#STATS_CAREER_TOTAL_GAMES","CAREER_STATS.arenas_rankedcareer_games_played",""
"arenas","rankedcareer","header","simple","#STATS_CAREER_TOTAL_WINS","CAREER_STATS.arenas_rankedcareer_placements_win",""
"arenas","rankedcareer","header","math_winrate","#STATS_CAREER_TOTAL_WINRATE","CAREER_STATS.arenas_rankedcareer_placements_win","CAREER_STATS.arenas_rankedcareer_games_played"
"arenas","rankedcareer","body","simple","#STATS_CARD_DAMAGE_TOTAL","CAREER_STATS.arenas_rankedcareer_damage_done",""
"arenas","rankedcareer","body","simple","#STATS_CARD_DAMAGE_HIGHEST","CAREER_STATS.arenas_rankedcareer_damage_done_max_single_game",""
"arenas","rankedcareer","body","math_divide","#STATS_CARD_DAMAGE_AVG","CAREER_STATS.arenas_rankedcareer_damage_done","CAREER_STATS.arenas_rankedcareer_games_played"
"arenas","rankedcareer","body","simple","#STATS_CARD_KILLS","CAREER_STATS.arenas_rankedcareer_kills",""
"arenas","rankedcareer","body","simple","#STATS_CARD_DEATHS","CAREER_STATS.arenas_rankedcareer_deaths",""
"arenas","rankedcareer","body","math_divide","#STATS_CARD_KDR","CAREER_STATS.arenas_rankedcareer_kills","CAREER_STATS.arenas_rankedcareer_deaths"
"arenas","rankedcareer","body","simple","#STATS_CARD_KILLSTREAK_LONGEST","CAREER_STATS.arenas_rankedcareer_kills_max_single_game",""
"arenas","rankedcareer","body","simple","#STATS_CARD_KNOCKOUTS","CAREER_STATS.arenas_rankedcareer_dooms",""
"arenas","rankedcareer","body","simple","#STATS_CARD_ASSISTS","CAREER_STATS.arenas_rankedcareer_assists",""
"arenas","rankedcareer","body","simple","#STATS_CARD_WINSTREAK_LONGEST","CAREER_STATS.arenas_rankedcareer_win_streak_longest",""
"arenas","rankedcareer","body","simple","#STATS_CARD_TEAMMATES_REVIVED","CAREER_STATS.arenas_rankedcareer_revived_ally",""
"string","string","string","string","string","string","string"
