"triggerName","zoneName","miniMapName","zoneGroup","statsRef"
"Z_08_ARTILLERY","#MAPZONE_ARTILLERY_BATTERY","#MAPZONE_ARTILLERY_BATTERY_SHORT","zoneArtillery","can_artillery"
"Z_09_A","#MAPZONE_CONTAINMENT","#MAPZONE_CONTAINMENT_SHORT","zoneContainment","can_containment"
"Z_09_B","#MAPZONE_WATCHTOWER_NORTH","","zoneContainment","can_containment"
"Z_09_C","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_09_D","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_09_E","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_09_F","#MAPZONE_HILLSIDE_HU","","zoneContainment","can_containment"
"Z_09_G","#MAPZONE_DES_CASCADES","","zoneContainment","can_containment"
"Z_09_H","#MAPZONE_LAGOON_CROSSING","#MAPZONE_LAGOON_CROSSING","zoneContainment","can_containment"
"Z_10_A","#MAPZONE_RIVER_CENTER","","zoneRiverCenter",""
"Z_10_B","#MAPZONE_RIVER_CENTER","","zoneRiverCenter",""
"Z_11_A","#MAPZONE_CAUSTIC_TREATMENT","#MAPZONE_CAUSTIC_TREATMENT","zoneWaterTreatment","can_watertreatment"
"Z_11_B","","","zoneWaterTreatment","can_watertreatment"
"Z_12_A","#MAPZONE_SPOTTED_LAKE","#MAPZONE_SPOTTED_LAKE","zoneSlumLakes","can_slumlakes"
"Z_12_B","#MAPZONE_SPOTTED_LAKE","","zoneSlumLakes","can_slumlakes"
"Z_12_C","#MAPZONE_SPOTTED_LAKE","","zoneSlumLakes","can_slumlakes"
"// For Rayme","switch later","","",""
"Z_12_D","#MAPZONE_SPOTTED_LAKE","","zoneSlumLakes","can_slumlakes"
"Z_12_E","#MAPZONE_UNCOVERED_BONES","","",""
"Z_12_HB","#MAPZONE_HB_Z12","#MAPZONE_HB_Z12","",""
"Z_13_ARENA","#MAPZONE_THE_ARENA","#MAPZONE_THE_ARENA","zoneArena","can_pit"
"Z_13_A","#MAPZONE_RUNOFF","","zoneRunoff",""
"Z_13_B","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_C","#MAPZONE_OASIS","","zoneHighDesert",""
"Z_13_D","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_E","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_F","#MAPZONE_HIGH_DESERT","","zoneHighDesert",""
"Z_13_G","#MAPZONE_CROSSROADS","","zoneCrossroads",""
"Z_13_H","#MAPZONE_GOLDEN_SANDS","","zoneHighDesert",""
"Z_14_RUNOFF","#MAPZONE_RUNOFF","#MAPZONE_RUNOFF","zoneRunoff","can_runoff"
"Z_15_AIRBASE","#MAPZONE_AIRBASE","#MAPZONE_AIRBASE","zoneAirbase","can_airbase"
"Z_16_MALL","#MAPZONE_MARKETPLACE","#MAPZONE_MARKETPLACE_SHORT","zoneMarket","can_market"
"Z_16_B","#MAPZONE_CROSSROADS","","zoneCrossroads",""
"Z_16_C","#MAPZONE_CROSSROADS","","zoneCrossroads",""
"Z_16_D","#MAPZONE_MARKETPLACE","","zoneMarket",""
"Z_16_E","#MAPZONE_EAST_SETTLEMENT","","zoneEastSettlement",""
"Z_16_F","#MAPZONE_CROSSROADS","","zoneCrossroads",""
"Z_16_G","","","",""
"Z_16_I","","","",""
"Z_16_HB","#MAPZONE_HB_Z16","#MAPZONE_HB_Z16","",""
"Z_16_RIG","#MAPZONE_RELIC","#MAPZONE_RELIC","",""
"Z_18_A","#MAPZONE_OCTANE_TT","#MAPZONE_OCTANE_TT_SHORT","desert","can_octanett"
"Z_19_A","#MAPZONE_RIG","#MAPZONE_RIG_SHORT","",""
"Z_19_B","#MAPZONE_RIG_NORTH","#MAPZONE_RIG_NORTH","",""
"Z_19_C","#MAPZONE_RIG_LOWER","#MAPZONE_RIG_LOWER","",""
"Z_19_D","#MAPZONE_RIG_S_LOADING","#MAPZONE_RIG_S_LOADING","",""
"Z_19_E","#MAPZONE_CRASH_SITE","#MAPZONE_CRASH_SITE","zoneCrashSite",""
"Z_19_F","#MAPZONE_CRASHED_SHIP","#MAPZONE_CRASHED_SHIP","zoneCrashedShip",""
"Z_20_A","#DES_ZONE_8_MIRAGE","#DES_ZONE_8_MIRAGE","",""
"JCT_01_05","#MAPZONE_CAPACITOR_JUNCTION","#MAPZONE_CAPACITOR_JUNCTION","",""
"JCT_01_03","#MAPZONE_COLLAPSED_TUNNEL","#MAPZONE_COLLAPSED_TUNNEL","",""
"JCT_01_19","#MAPZONE_PIPEWAY","#MAPZONE_PIPEWAY","",""
"JCT_05_06","","","",""
"JCT_04_06","#MAPZONE_HYDRO_TUNNELS","","zoneHydro",""
"JCT_08_09A","#MAPZONE_DESTROYED_ARTILLERY_TUNNEL","#MAPZONE_DESTROYED_ARTILLERY_TUNNEL","zoneArtilleryTunnel",""
"JCT_08_09B","#MAPZONE_ARTILLERY_UNDERPASS","","zoneArtilleryUnderpass",""
"JCT_09_13","","","",""
"JCT_10_13","#MAPZONE_BUNKER_PASS","#MAPZONE_BUNKER_PASS_SHORT","zoneBunker","can_bunker"
"JCT_06_07","","","",""
"JCT_08_10_16","","","zoneCaves",""
"JCT_03_04_06","","","",""
"JCT_02_03_04","","","",""
"JCT_03_06","","","",""
"JCT_ARENA_A","","","",""
"JCT_ARENA_B","","","",""
"JCT_ARENA_C","","","",""
"JCT_01_02_03","","","",""
"string","string","string","string","string"
