"triggerName","zoneName","miniMapName","zoneGroup","statsRef"
"Z_16_A","#MAPZONE_WEST_SETTLEMENT","","zoneWestSettlement",""
"Z_16_B","#MAPZONE_CROSSROADS","","zoneCrossroads",""
"Z_16_C","#MAPZONE_CROSSROADS","","zoneCrossroads",""
"Z_16_D","#MAPZONE_MARKETPLACE","","zoneMarket",""
"Z_16_E","#MAPZONE_EAST_SETTLEMENT","","zoneEastSettlement",""
"Z_16_F","","","",""
"Z_16_G","#MAPZONE_SOUTH_SETTLEMENT","","zoneSouthSettlement",""
"Z_17_DOME","#MAPZONE_THUNDERDOME","#MAPZONE_THUNDERDOME","zoneThunderdome","can_thunderdome"
"Z_18_A","#MAPZONE_OCTANE_TT","#MAPZONE_OCTANE_TT_SHORT","desert","can_octanett"
"JCT_05_06","","","",""
"JCT_04_06","#MAPZONE_HYDRO_TUNNELS","","zoneHydro",""
"JCT_08_09A","#MAPZONE_ARTILLERY_TUNNEL","","zoneArtilleryTunnel",""
"JCT_08_09B","#MAPZONE_ARTILLERY_UNDERPASS","","zoneArtilleryUnderpass",""
"JCT_09_13","","","",""
"JCT_10_13","#MAPZONE_BUNKER_PASS","#MAPZONE_BUNKER_PASS_SHORT","zoneBunker","can_bunker"
"JCT_06_07","","","",""
"JCT_08_10_16","#MAPZONE_CAVES","#MAPZONE_CAVES","zoneCaves",""
"JCT_03_04_06","","","",""
"JCT_02_03_04","","","",""
"JCT_01_02_03","","","",""
"JCT_03_06","","","",""
"JCT_ARENA_A","","","",""
"JCT_ARENA_B","","","",""
"JCT_ARENA_C","","","",""
"string","string","string","string","string"
