"name","alias","priority","perspective","canPlayIfSolo","radioDisplayName","team","radioIntercept","vduVideo","dialogue","voice","bucket"
"bc_loba_ltm_evacTimeout_01_01","diag_mp_loba_ltm_evacTimeout_3p_01_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_01_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacTimeout_01_02","diag_mp_loba_ltm_evacTimeout_3p_01_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_01_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacTimeout_02_01","diag_mp_loba_ltm_evacTimeout_3p_02_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_02_01","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacTimeout_02_02","diag_mp_loba_ltm_evacTimeout_3p_02_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_02_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacTimeout_03_01","diag_mp_loba_ltm_evacTimeout_3p_03_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_03_01","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacTimeout_03_02","diag_mp_loba_ltm_evacTimeout_3p_03_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_03_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacTimeout_04_01","diag_mp_loba_ltm_evacTimeout_3p_04_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_04_01","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evacTimeout_04_02","diag_mp_loba_ltm_evacTimeout_3p_04_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACTIMEOUT_04_02","Loba","SHADOW_ARMY_LOBA_EVAC_ARRIVED"
"bc_loba_ltm_evaccomplete_01_01","diag_mp_loba_ltm_evacComplete_3p_01_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_01_01","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evaccomplete_01_02","diag_mp_loba_ltm_evacComplete_3p_01_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_01_02","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evaccomplete_02_01","diag_mp_loba_ltm_evacComplete_3p_02_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_02_01","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evaccomplete_02_02","diag_mp_loba_ltm_evacComplete_3p_02_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_02_02","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evaccomplete_03_01","diag_mp_loba_ltm_evacComplete_3p_03_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_03_01","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evaccomplete_03_02","diag_mp_loba_ltm_evacComplete_3p_03_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_03_02","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evaccomplete_04_01","diag_mp_loba_ltm_evacComplete_3p_04_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_04_01","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evaccomplete_04_02","diag_mp_loba_ltm_evacComplete_3p_04_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACCOMPLETE_04_02","Loba","SHADOW_ARMY_LOBA_EVAC_COMPLETE"
"bc_loba_ltm_evacnearmiss_01_01","diag_mp_loba_ltm_evacnearmiss_3p_01_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_01_01","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_loba_ltm_evacnearmiss_01_02","diag_mp_loba_ltm_evacnearmiss_3p_01_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_01_02","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_loba_ltm_evacnearmiss_02_01","diag_mp_loba_ltm_evacnearmiss_3p_02_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_02_01","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_loba_ltm_evacnearmiss_02_02","diag_mp_loba_ltm_evacnearmiss_3p_02_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_02_02","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_loba_ltm_evacnearmiss_03_01","diag_mp_loba_ltm_evacnearmiss_3p_03_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_03_01","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_loba_ltm_evacnearmiss_03_02","diag_mp_loba_ltm_evacnearmiss_3p_03_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_03_02","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_loba_ltm_evacnearmiss_04_01","diag_mp_loba_ltm_evacnearmiss_3p_04_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_04_01","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_loba_ltm_evacnearmiss_04_02","diag_mp_loba_ltm_evacnearmiss_3p_04_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_EVACNEARMISS_04_02","Loba","SHADOW_ARMY_LOBA_EVAC_NEARMISS"
"bc_crypto_ltm_intro_01_01","diag_mp_crypto_bc_ltm_instruction_3p_01_01",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_01_01","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_crypto_ltm_intro_01_02","diag_mp_crypto_bc_ltm_instruction_3p_01_02",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_01_02","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_crypto_ltm_intro_02_01","diag_mp_crypto_bc_ltm_instruction_3p_02_01",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_02_01","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_crypto_ltm_intro_02_02","diag_mp_crypto_bc_ltm_instruction_3p_02_02",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_02_02","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_crypto_ltm_intro_03_01","diag_mp_crypto_bc_ltm_instruction_3p_03_01",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_03_01","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_crypto_ltm_intro_03_02","diag_mp_crypto_bc_ltm_instruction_3p_03_02",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_03_02","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_crypto_ltm_intro_04_01","diag_mp_crypto_bc_ltm_instruction_3p_04_01",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_04_01","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_crypto_ltm_intro_04_02","diag_mp_crypto_bc_ltm_instruction_3p_04_02",10,"radio",true,"#HOST_CRYPTO","",false,"","#BC_CRYPTO_LTM_INTRO_04_02","Crypto","SHADOW_ARMY_CRYPTO_INTRO"
"bc_loba_ltm_cryptoresponse_01_01","diag_mp_loba_ltm_instructionresponse_3p_01_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_01_01","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"bc_loba_ltm_cryptoresponse_01_02","diag_mp_loba_ltm_instructionresponse_3p_01_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_01_02","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"bc_loba_ltm_cryptoresponse_02_01","diag_mp_loba_ltm_instructionresponse_3p_02_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_02_01","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"bc_loba_ltm_cryptoresponse_02_02","diag_mp_loba_ltm_instructionresponse_3p_02_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_02_02","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"bc_loba_ltm_cryptoresponse_03_01","diag_mp_loba_ltm_instructionresponse_3p_03_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_03_01","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"bc_loba_ltm_cryptoresponse_03_02","diag_mp_loba_ltm_instructionresponse_3p_03_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_03_02","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"bc_loba_ltm_cryptoresponse_04_01","diag_mp_loba_ltm_instructionresponse_3p_04_01",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_04_01","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"bc_loba_ltm_cryptoresponse_04_02","diag_mp_loba_ltm_instructionresponse_3p_04_02",10,"radio",true,"#HOST_LOBA","",false,"","#BC_LOBA_LTM_CRYPTORESPONSE_04_02","Loba","SHADOW_ARMY_LOBA_CRYPTO_RESPONSE"
"string","string","int","string","bool","string","string","bool","asset_noprecache","string","string","string"
