"name","alias","priority","radioDisplayName","team","radioIntercept","vduVideo","dialogue","bucket","note"
"Host_AI_CarePackage_02","diag_ap_aiNotify_droppingCarePack_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Attention: Delivering care package.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_AI_HoverTank","diag_ap_aiNotify_supplyShip",0,"#HOST_AI","TEAM_MILITIA",false,"","Attention: Supply ship inbound","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_AI_Winner_01","diag_ap_aiNotify_winnerFound_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Attention: Winner decided.","WINNER","Winner"
"Host_AI_Winner_02","diag_ap_aiNotify_winnerFound_02",0,"#HOST_AI","TEAM_MILITIA",false,"","A winner has been appointed.","WINNER","Winner"
"Host_AI_Winner_03","diag_ap_aiNotify_winnerFound_03",0,"#HOST_AI","TEAM_MILITIA",false,"","Winner!.","WINNER","Winner"
"Host_AI_ChampionEliminated_01","diag_ap_aiNotify_championEliminated_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Champion eliminated.","CHAMPION_ELIMINATED","Champion Eliminated"
"Host_AI_ChampionEliminated_02","diag_ap_aiNotify_championEliminated_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Attention: The Champion has been eliminated.","CHAMPION_ELIMINATED","Champion Eliminated"
"Host_AI_NewKillLeader_01","diag_ap_aiNotify_killLeaderNew_01",0,"#HOST_AI","TEAM_MILITIA",false,"","New Kill Leader appointed.","NEW_KILL_LEADER","New Kill Leader"
"Host_AI_NewKillLeader_02","diag_ap_aiNotify_killLeaderNew_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Attention: There is a new Kill Leader.","NEW_KILL_LEADER","New Kill Leader"
"Host_AI_KillLeaderEliminated_01","diag_ap_aiNotify_killLeaderEliminated_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Kill Leader eliminated.","KILL_LEADER_ELIMINATED","Kill Leader Eliminated"
"Host_AI_KillLeaderEliminated_02","diag_ap_aiNotify_killLeaderEliminated_02",0,"#HOST_AI","TEAM_MILITIA",false,"","Attention: The Kill Leader has been eliminated.","KILL_LEADER_ELIMINATED","Kill Leader Eliminated"
"","",0,"","",false,"","","",""
"Host_AI_Begin_Round1","diag_ap_aiNotify_circleTimerStartRound1_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 1 - Beginning Ring countdown.","BEGIN_ROUND1",""
"Host_AI_Begin_Round2","diag_ap_aiNotify_circleTimerStartRound2_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 2 - Beginning Ring countdown.","BEGIN_ROUND2",""
"Host_AI_Begin_Round3","diag_ap_aiNotify_circleTimerStartRound3_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 3 - Beginning Ring countdown.","BEGIN_ROUND3",""
"Host_AI_Begin_Round4","diag_ap_aiNotify_circleTimerStartRound4_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 4 - Beginning Ring countdown.","BEGIN_ROUND4",""
"Host_AI_Begin_Round5","diag_ap_aiNotify_circleTimerStartRound5_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 5 - Beginning Ring countdown.","BEGIN_ROUND5",""
"Host_AI_Begin_Round6","diag_ap_aiNotify_circleTimerStartRound6_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 6 - Beginning Ring countdown.","BEGIN_ROUND6",""
"Host_AI_Begin_Round7","diag_ap_aiNotify_circleTimerStartRound7_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 7 - Beginning Ring countdown.","BEGIN_ROUND7",""
"Host_AI_Begin_Round8","diag_ap_aiNotify_circleTimerStartRound8_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 8 - Beginning Ring countdown.","BEGIN_ROUND8",""
"Host_AI_Begin_Round9","diag_ap_aiNotify_circleTimerStartRound9_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 9 - Beginning Ring countdown.","BEGIN_ROUND9",""
"Host_AI_Begin_RoundFinal","diag_ap_aiNotify_circleTimerStartRoundFinal_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Final Round - Beginning Ring countdown.","BEGIN_ROUND_FINAL",""
"","",0,"","",false,"","","",""
"Host_AI_Begin_Round2_Glitch1","diag_ap_aiNotify_circleTimerStartRound2_w1",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 2 - Beginning Ring countdown.","",""
"Host_AI_Begin_Round2_Glitch2","diag_ap_aiNotify_circleTimerStartRound2_w2",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 2 - Beginning Ring countdown.","",""
"Host_AI_Begin_Round2_Glitch3","diag_ap_aiNotify_circleTimerStartRound2_w3",0,"#HOST_AI","TEAM_MILITIA",false,"","Round 2 - Beginning Ring countdown.","",""
"Host_AI_Begin_Round2_Glitch1a","diag_ap_aiNotify_circleTimerStartRound2_w1a",0,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"Host_AI_Begin_Round2_Glitch1b","diag_ap_aiNotify_circleTimerStartRound2_w1b",0,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"Host_AI_Begin_Round2_Glitch1c","diag_ap_aiNotify_circleTimerStartRound2_w1c",0,"#HOST_AI","TEAM_MILITIA",false,"","","",""
"","",0,"","TEAM_MILITIA",false,"","","",""
"Host_AI_FirstBlood","diag_ap_aiNotify_diedFirst_01",0,"#HOST_AI","TEAM_MILITIA",false,"","Attention: First Blood","FIRST_BLOOD",""
"","",0,"","",false,"","","",""
"","",0,"","",false,"","","",""
"","",0,"","",false,"","","",""
"","",0,"","",false,"","","",""
"Host_Noc_introChampion_01_01","diag_ap_nocNotify_introChampion_01_01_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_01_02","diag_ap_nocNotify_introChampion_01_02_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_02_01","diag_ap_nocNotify_introChampion_02_01_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_02_02","diag_ap_nocNotify_introChampion_02_02_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_03_01","diag_ap_nocNotify_introChampion_03_01_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_03_02","diag_ap_nocNotify_introChampion_03_02_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_04_01","diag_ap_nocNotify_introChampion_04_01_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_04_02","diag_ap_nocNotify_introChampion_04_02_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_04_03","diag_ap_nocNotify_introChampion_04_03_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_05_01","diag_ap_nocNotify_introChampion_05_01_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"Host_Noc_introChampion_05_02","diag_ap_nocNotify_introChampion_05_02_3p",0,"#HOST_NOC","TEAM_MILITIA",false,"","This is your Champion. Kill them.","INTRO_CHAMPION_CARD","JNEL: New Bucket for Noc; this is for the Champion Intro, which for AI is being called in script explicitly"
"","",0,"","",false,"","","",""
"Host_Noc_CircleMoving_01_01","diag_ap_nocNotify_circleMoving_01_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_01_02","diag_ap_nocNotify_circleMoving_01_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_01_03","diag_ap_nocNotify_circleMoving_01_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_01_04","diag_ap_nocNotify_circleMoving_01_04_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_02_01","diag_ap_nocNotify_circleMoving_02_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_02_02","diag_ap_nocNotify_circleMoving_02_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_02_03","diag_ap_nocNotify_circleMoving_02_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_03_01","diag_ap_nocNotify_circleMoving_03_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_03_02","diag_ap_nocNotify_circleMoving_03_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_04_01","diag_ap_nocNotify_circleMoving_04_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_04_02","diag_ap_nocNotify_circleMoving_04_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_04_03","diag_ap_nocNotify_circleMoving_04_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_05_01","diag_ap_nocNotify_circleMoving_05_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_CircleMoving_05_02","diag_ap_nocNotify_circleMoving_05_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle closing.","CIRCLE_MOVING","Circle Moving"
"Host_Noc_FinalCircleMoving_01_01","diag_ap_nocNotify_circleMovingFinal_01_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_01_02","diag_ap_nocNotify_circleMovingFinal_01_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_02_01","diag_ap_nocNotify_circleMovingFinal_02_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_02_02","diag_ap_nocNotify_circleMovingFinal_02_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_02_03","diag_ap_nocNotify_circleMovingFinal_02_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_03_01","diag_ap_nocNotify_circleMovingFinal_03_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_03_02","diag_ap_nocNotify_circleMovingFinal_03_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_03_03","diag_ap_nocNotify_circleMovingFinal_03_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_03_04","diag_ap_nocNotify_circleMovingFinal_03_04_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_04_01","diag_ap_nocNotify_circleMovingFinal_04_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_04_02","diag_ap_nocNotify_circleMovingFinal_04_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_FinalCircleMoving_04_03","diag_ap_nocNotify_circleMovingFinal_04_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Final circle closing.","FINAL_CIRCLE_MOVING","Final Circle Moving"
"Host_Noc_CircleClosingToNothing_01_01","diag_ap_nocNotify_circleClosingFinal_01_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_Noc_CircleClosingToNothing_01_02","diag_ap_nocNotify_circleClosingFinal_01_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_Noc_CircleClosingToNothing_01_03","diag_ap_nocNotify_circleClosingFinal_01_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_Noc_CircleClosingToNothing_01_04","diag_ap_nocNotify_circleClosingFinal_01_04_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_Noc_CircleClosingToNothing_02_01","diag_ap_nocNotify_circleClosingFinal_02_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_Noc_CircleClosingToNothing_02_02","diag_ap_nocNotify_circleClosingFinal_02_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_Noc_CircleClosingToNothing_02_03","diag_ap_nocNotify_circleClosingFinal_02_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Warning: Circle nearing completion.","CIRCLE_CLOSING_TO_NOTHING","Circle Closing To Nothing"
"Host_Noc_CarePackage_01_01","diag_ap_nocNotify_droppingCarePack_01_01_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_01_02","diag_ap_nocNotify_droppingCarePack_01_02_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_01_03","diag_ap_nocNotify_droppingCarePack_01_03_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_01_04","diag_ap_nocNotify_droppingCarePack_01_04_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_02_01","diag_ap_nocNotify_droppingCarePack_02_01_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_02_02","diag_ap_nocNotify_droppingCarePack_02_02_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_02_03","diag_ap_nocNotify_droppingCarePack_02_03_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_03_01","diag_ap_nocNotify_droppingCarePack_03_01_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_03_02","diag_ap_nocNotify_droppingCarePack_03_02_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_03_03","diag_ap_nocNotify_droppingCarePack_03_03_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_04_01","diag_ap_nocNotify_droppingCarePack_04_01_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_04_02","diag_ap_nocNotify_droppingCarePack_04_02_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_04_03","diag_ap_nocNotify_droppingCarePack_04_03_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_05_01","diag_ap_nocNotify_droppingCarePack_05_01_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_05_02","diag_ap_nocNotify_droppingCarePack_05_02_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_05_03","diag_ap_nocNotify_droppingCarePack_05_03_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_05_04","diag_ap_nocNotify_droppingCarePack_05_04_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_06_01","diag_ap_nocNotify_droppingCarePack_06_01_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_06_02","diag_ap_nocNotify_droppingCarePack_06_02_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_CarePackage_06_03","diag_ap_nocNotify_droppingCarePack_06_03_3p",10,"#HOST_NOC","TEAM_MILITIA",false,"","Care package being delivered.","CARE_PACKAGE_DROPPING","Care Package Dropping"
"Host_Noc_HoverTank_01_01","diag_ap_nocNotify_supplyShip_01_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_01_02","diag_ap_nocNotify_supplyShip_01_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_02_01","diag_ap_nocNotify_supplyShip_02_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_02_02","diag_ap_nocNotify_supplyShip_02_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_03_01","diag_ap_nocNotify_supplyShip_03_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_03_02","diag_ap_nocNotify_supplyShip_03_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_04_01","diag_ap_nocNotify_supplyShip_04_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_04_02","diag_ap_nocNotify_supplyShip_04_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"Host_Noc_HoverTank_04_03","diag_ap_nocNotify_supplyShip_04_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Sending a Supply Ship.","HOVER_TANK_INBOUND","Hover tanks flying in"
"","",0,"","",false,"","","",""
"Host_Noc_WinnerShadows_01_01","diag_ap_nocNotify_winnerDecided_01_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Weâ€™ve found a winner. Good","PRE_VICTORY_SHADOWS","Winner"
"Host_Noc_WinnerShadows_01_02","diag_ap_nocNotify_winnerDecided_01_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Weâ€™ve found a winner. Good","PRE_VICTORY_SHADOWS","Winner"
"Host_Noc_WinnerShadows_01_03","diag_ap_nocNotify_winnerDecided_01_03_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Weâ€™ve found a winner. Good","PRE_VICTORY_SHADOWS","Winner"
"Host_Noc_WinnerShadows_07_01","diag_ap_nocNotify_winnerDecided_07_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Enjoy this victory, winners everything ends","PRE_VICTORY_SHADOWS","Winner"
"Host_Noc_WinnerShadows_07_02","diag_ap_nocNotify_winnerDecided_07_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Enjoy this victory, winners everything ends","PRE_VICTORY_SHADOWS","Winner"
"Host_Noc_WinnerMultiLegends_02_01","diag_ap_nocNotify_winnerDecided_02_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","The winner has been decided. But death will find them soon.","PRE_VICTORY_LEGENDS_MULTIPLE","Winner"
"Host_Noc_WinnerMultiLegends_06_01","diag_ap_nocNotify_winnerDecided_06_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","The winner has been decided. But death will find them soon.","PRE_VICTORY_LEGENDS_MULTIPLE","Winner"
"Host_Noc_WinnerMultiLegends_07_01","diag_ap_nocNotify_winnerDecided_07_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Enjoy this victory, winners everything ends","PRE_VICTORY_LEGENDS_MULTIPLE","Winner"
"Host_Noc_WinnerMultiLegends_07_02","diag_ap_nocNotify_winnerDecided_07_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Enjoy this victory, winners everything ends","PRE_VICTORY_LEGENDS_MULTIPLE","Winner"
"Host_Noc_WinnerSingleLegend_03_01","diag_ap_nocNotify_winnerDecided_03_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","The winner has survived. Huh. Pity.","PRE_VICTORY_LEGENDS_SINGLE","Winner"
"Host_Noc_WinnerSingleLegend_03_02","diag_ap_nocNotify_winnerDecided_03_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","The winner has survived. Huh. Pity.","PRE_VICTORY_LEGENDS_SINGLE","Winner"
"Host_Noc_WinnerSingleLegend_04_01","diag_ap_nocNotify_winnerDecided_04_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Our winner lives. To die another day.","PRE_VICTORY_LEGENDS_SINGLE","Winner"
"Host_Noc_WinnerSingleLegend_04_02","diag_ap_nocNotify_winnerDecided_04_02_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","Our winner lives. To die another day.","PRE_VICTORY_LEGENDS_SINGLE","Winner"
"Host_Noc_WinnerSingleLegend_05_01","diag_ap_nocNotify_winnerDecided_05_01_3p",20,"#HOST_NOC","TEAM_MILITIA",false,"","We have our winner. Maybe next time youll die","PRE_VICTORY_LEGENDS_SINGLE","Winner"
