"event","priority","blocksNextPriority","method","bodyType","alias_1p_victim_only","alias_3p_except_victim","alias_3p_attacker_only","alias_3p_except_attacker"
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_PATHFINDER","diag_mp_pathfinder_effort_cough_1p","diag_mp_pathfinder_effort_cough_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_PATHFINDER","diag_mp_pathfinder_effort_painFire_1p","diag_mp_pathfinder_effort_painFire_3p","",""
"pain",400,false,"SE_ANY","CLASS_PATHFINDER","diag_mp_pathfinder_effort_pain_1p","diag_mp_pathfinder_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_MIRAGE","diag_mp_mirage_effort_painFire_1p","diag_mp_mirage_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_MIRAGE","diag_mp_mirage_effort_cough_1p","diag_mp_mirage_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_MIRAGE","diag_mp_mirage_effort_pain_1p","diag_mp_mirage_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_BANGALORE","diag_mp_bangalore_effort_painFire_1p","diag_mp_bangalore_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_BANGALORE","diag_mp_bangalore_effort_cough_1p","diag_mp_bangalore_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_BANGALORE","diag_mp_bangalore_effort_pain_1p","diag_mp_bangalore_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_CAUSTIC","diag_mp_caustic_effort_painFire_1p","diag_mp_caustic_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_CAUSTIC","diag_mp_caustic_effort_cough_1p","diag_mp_caustic_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_CAUSTIC","diag_mp_caustic_effort_pain_1p","diag_mp_caustic_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_OCTANE","diag_mp_octane_effort_painFire_1p","diag_mp_octane_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_OCTANE","diag_mp_octane_effort_cough_1p","diag_mp_octane_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_OCTANE","diag_mp_octane_effort_pain_1p","diag_mp_octane_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_WATTSON","diag_mp_wattson_effort_painFire_1p","diag_mp_wattson_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_WATTSON","diag_mp_wattson_effort_cough_1p","diag_mp_wattson_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_WATTSON","diag_mp_wattson_effort_pain_1p","diag_mp_wattson_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_CRYPTO","diag_mp_crypto_effort_painFire_1p","diag_mp_crypto_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_CRYPTO","diag_mp_crypto_effort_cough_1p","diag_mp_crypto_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_CRYPTO","diag_mp_crypto_effort_pain_1p","diag_mp_crypto_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_REVENANT","diag_mp_revenant_effort_painFire_1p","diag_mp_revenant_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_REVENANT","diag_mp_revenant_effort_cough_1p","diag_mp_revenant_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_REVENANT","diag_mp_revenant_effort_pain_1p","diag_mp_revenant_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_LOBA","diag_mp_loba_effort_painFire_1p","diag_mp_loba_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_LOBA","diag_mp_loba_effort_cough_1p","diag_mp_loba_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_LOBA","diag_mp_loba_effort_pain_1p","diag_mp_loba_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_RAMPART","diag_mp_rampart_effort_painFire_1p","diag_mp_rampart_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_RAMPART","diag_mp_rampart_effort_cough_1p","diag_mp_rampart_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_RAMPART","diag_mp_rampart_effort_pain_1p","diag_mp_rampart_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_HORIZON","diag_mp_horizon_effort_painFire_1p","diag_mp_horizon_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_HORIZON","diag_mp_horizon_effort_cough_1p","diag_mp_horizon_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_HORIZON","diag_mp_horizon_effort_pain_1p","diag_mp_horizon_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_FUSE","diag_mp_fuse_effort_painFire_1p","diag_mp_fuse_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_FUSE","diag_mp_fuse_effort_cough_1p","diag_mp_fuse_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_FUSE","diag_mp_fuse_effort_pain_1p","diag_mp_fuse_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_VALKYRIE","diag_mp_valkyrie_effort_painFire_1p","diag_mp_valkyrie_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_VALKYRIE","diag_mp_valkyrie_effort_cough_1p","diag_mp_valkyrie_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_VALKYRIE","diag_mp_valkyrie_effort_pain_1p","diag_mp_valkyrie_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_SEER","diag_mp_seer_effort_painFire_1p","diag_mp_seer_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_SEER","diag_mp_seer_effort_cough_1p","diag_mp_seer_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_SEER","diag_mp_seer_effort_pain_1p","diag_mp_seer_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_ASH","diag_mp_ash_effort_painFire_1p","diag_mp_ash_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_ASH","diag_mp_ash_effort_cough_1p","diag_mp_ash_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_ASH","diag_mp_ash_effort_pain_1p","diag_mp_ash_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_painFire_1p","diag_mp_madmaggie_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_cough_1p","diag_mp_madmaggie_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_MADMAGGIE","diag_mp_madmaggie_effort_pain_1p","diag_mp_madmaggie_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_NEWCASTLE","diag_mp_newcastle_effort_painFire_1p","diag_mp_newcastle_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_NEWCASTLE","diag_mp_newcastle_effort_cough_1p","diag_mp_newcastle_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_NEWCASTLE","diag_mp_newcastle_effort_pain_1p","diag_mp_newcastle_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_VANTAGE","diag_mp_vantage_effort_painFire_1p","diag_mp_vantage_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_VANTAGE","diag_mp_vantage_effort_cough_1p","diag_mp_vantage_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_VANTAGE","diag_mp_vantage_effort_pain_1p","diag_mp_vantage_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_CATALYST","diag_mp_catalyst_effort_painFire_1p","diag_mp_catalyst_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_CATALYST","diag_mp_catalyst_effort_cough_1p","diag_mp_catalyst_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_CATALYST","diag_mp_catalyst_effort_pain_1p","diag_mp_catalyst_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_BALLISTIC","diag_mp_ballistic_effort_painFire_1p","diag_mp_ballistic_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_BALLISTIC","diag_mp_ballistic_effort_cough_1p","diag_mp_ballistic_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_BALLISTIC","diag_mp_ballistic_effort_pain_1p","diag_mp_ballistic_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_CONDUIT","diag_mp_conduit_effort_painFire_1p","diag_mp_conduit_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_CONDUIT","diag_mp_conduit_effort_cough_1p","diag_mp_conduit_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_CONDUIT","diag_mp_conduit_effort_pain_1p","diag_mp_conduit_effort_pain_3p","",""
"pain",300,true,"SE_THERMITE_GRENADE","CLASS_ALTER","diag_mp_alter_effort_painFire_1p","diag_mp_alter_effort_painFire_3p","",""
"pain",350,true,"SE_CORROSIVE_GAS","CLASS_ALTER","diag_mp_alter_effort_cough_1p","diag_mp_alter_effort_cough_3p","",""
"pain",400,false,"SE_ANY","CLASS_ALTER","diag_mp_alter_effort_pain_1p","diag_mp_alter_effort_pain_3p","",""
"string","int","bool","string","string","string","string","string","string"
