"name","alias","priority","perspective","canPlayIfSolo","legendFlavors","radioDisplayName","team","radioIntercept","vduVideo","dialogue"
"bc_firstBlood","diag_mp_%voice%_bc_firstBlood_%perspective%",10,"",false,"","","",false,"",""
"bc_circleTimerStartFinal","diag_mp_%voice%_bc_circleTimerStartFinal_%perspective%",10,"solo",true,"","","",false,"",""
"bc_circleClosingFinal","diag_mp_%voice%_bc_circleClosingFinal_%perspective%",10,"solo",true,"","","",false,"",""
"bc_droppingCarePack","diag_mp_%voice%_bc_droppingCarePack_%perspective%",10,"",false,"","","",false,"",""
"bc_squadsLeft2","diag_mp_%voice%_bc_squadsLeft2_%perspective%",10,"solo",true,"","","",false,"",""
"bc_squadsLeft3","diag_mp_%voice%_bc_squadsLeft3_%perspective%",10,"solo",true,"","","",false,"",""
"bc_squadsLeftHalf","diag_mp_%voice%_bc_squadsLeftHalf_%perspective%",10,"solo",true,"","","",false,"",""
"bc_nextCircleFar","diag_mp_%voice%_bc_nextCircleFar_%perspective%",10,"solo",true,"","","",false,"",""
"bc_insideNextCircle","diag_mp_%voice%_bc_insideNextCircle_%perspective%",10,"solo",true,"","","",false,"",""
"bc_twoSquaddiesLeft","diag_mp_%voice%_bc_twoSquaddiesLeft_%perspective%",10,"",false,"","","",false,"",""
"bc_championEliminated","diag_mp_%voice%_bc_championEliminated_%perspective%",10,"",false,"","","",false,"",""
"bc_killLeaderNew","diag_mp_%voice%_bc_killLeaderNew_%perspective%",10,"",false,"","","",false,"",""
"bc_iKilledFlyer","diag_mp_%voice%_bc_iKilledFlyer_%perspective%",10,"",false,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_gotFriendlyBanner","diag_mp_%voice%_bc_gotFriendlyBanner_%perspective%",25,"",true,"","","",false,"",""
"bc_returnFromRespawn","diag_mp_%voice%_bc_returnFromRespawn_%perspective%",10,"",true,"","","",false,"",""
"bc_squadmateBecomesKillLeader","diag_mp_%voice%_bc_squadmateBecomesKillLeader_%perspective%",10,"",false,"","","",false,"",""
"bc_iBecomeKillLeader","diag_mp_%voice%_bc_iBecomeKillLeader_%perspective%",10,"solo",true,"","","",false,"",""
"bc_weKilledChampion","diag_mp_%voice%_bc_weKilledChampion_%perspective%",10,"solo",true,"","","",false,"",""
"bc_weKilledKillLeader","diag_mp_%voice%_bc_weKilledKillLeader_%perspective%",10,"solo",true,"","","",false,"",""
"bc_weTookFirstBlood","diag_mp_%voice%_bc_weTookFirstBlood_%perspective%",10,"",false,"","","",false,"",""
"bc_iDownedAnEnemy","diag_mp_%voice%_bc_iDownedAnEnemy_%perspective%",10,"",false,"","","",false,"",""
"bc_iDownedAnotherEnemy","diag_mp_%voice%_bc_iDownedAnotherEnemy_%perspective%",10,"",false,"","","",false,"",""
"bc_iDownedMultiple","diag_mp_%voice%_bc_iDownedMultiple_%perspective%",10,"",false,"","","",false,"",""
"bc_megaKill","diag_mp_%voice%_bc_megaKill_%perspective%",10,"",false,"","","",false,"",""
"bc_squadTeamWipe","diag_mp_%voice%_bc_squadTeamWipe_%perspective%",10,"solo",true,"","","",false,"",""
"bc_iKilledAnEnemy","diag_mp_%voice%_bc_iKilledAnEnemy_%perspective%",10,"",true,"","","",false,"",""
"bc_wraith_iKilledAnEnemyWithHeirloom","diag_mp_wraith_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_lifeline_iKilledAnEnemyWithHeirloom","diag_mp_lifeline_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_pathfinder_iKilledAnEnemyWithHeirloom","diag_mp_pathfinder_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_octane_iKilledAnEnemyWithHeirloom","diag_mp_octane_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_mirage_iKilledAnEnemyWithHeirloom","diag_mp_mirage_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_caustic_iKilledAnEnemyWithHeirloom","diag_mp_caustic_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_gibraltar_iKilledAnEnemyWithHeirloom","diag_mp_gibraltar_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_bangalore_iKilledAnEnemyWithHeirloom","diag_mp_bangalore_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_revenant_iKilledAnEnemyWithHeirloom","diag_mp_revenant_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_rampart_iKilledAnEnemyWithHeirloom","diag_mp_rampart_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_wattson_iKilledAnEnemyWithHeirloom","diag_mp_wattson_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_crypto_iKilledAnEnemyWithHeirloom","diag_mp_crypto_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_valkyrie_iKilledAnEnemyWithHeirloom","diag_mp_valkyrie_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_loba_iKilledAnEnemyWithHeirloom","diag_mp_loba_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_seer_iKilledAnEnemyWithHeirloom","diag_mp_seer_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_ash_iKilledAnEnemyWithHeirloom","diag_mp_ash_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_horizon_iKilledAnEnemyWithHeirloom","diag_mp_horizon_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_fuse_iKilledAnEnemyWithHeirloom","diag_mp_fuse_bc_iKilledAnEnemyWithHeirloom_%perspective%",10,"",true,"","","",false,"",""
"bc_scatteredNag","diag_mp_%voice%_bc_scatteredNag_%perspective%",10,"",false,"","","",false,"",""
"bc_newCircle_wholeSquadNotInCircle","diag_mp_%voice%_bc_newCircle_wholeSquadNotInCircle_%perspective%",10,"",false,"","","",false,"",""
"bc_circleMovesNag1Min_far","diag_mp_%voice%_bc_circleMovesNag1Min_far_%perspective%",10,"solo",true,"","","",false,"",""
"bc_circleMovesNag45Sec_far","diag_mp_%voice%_bc_circleMovesNag45Sec_far_%perspective%",10,"solo",true,"","","",false,"",""
"bc_circleMovesNag1Min_close","diag_mp_%voice%_bc_circleMovesNag1Min_close_%perspective%",10,"solo",true,"","","",false,"",""
"bc_circleMovesNag45Sec_close","diag_mp_%voice%_bc_circleMovesNag45Sec_close_%perspective%",10,"solo",true,"","","",false,"",""
"bc_circleMovesNag30Sec_close","diag_mp_%voice%_bc_circleMovesNag30Sec_close_%perspective%",10,"solo",true,"","","",false,"",""
"bc_circleMovesNag10Sec_close","diag_mp_%voice%_bc_circleMovesNag10Sec_close_%perspective%",10,"solo",true,"","","",false,"",""
"bc_circleMoving_allOutside","diag_mp_%voice%_bc_circleMoving_allOutside_%perspective%",10,"",false,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_tactical","diag_mp_%voice%_bc_tactical_%perspective%",30,"solo_flav",true,"lifeline;rampart","","",false,"",""
"bc_super","diag_mp_%voice%_bc_super_%perspective%",30,"solo_flav",true,"lifeline;rampart;loba","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_bangalore_passive","diag_mp_bangalore_bc_passive_%perspective%",30,"",true,"","","",false,"",""
"bc_bangalore_tacticalAgain","diag_mp_bangalore_bc_tacticalagain_%perspective%",30,"",true,"","","",false,"",""
"bc_wraith_superSet","diag_mp_wraith_bc_superSet_%perspective%",30,"",true,"","","",false,"",""
"bc_pathfinder_passive","diag_mp_pathfinder_bc_passive_%perspective%",30,"",false,"","","",false,"",""
"bc_caustic_passive","diag_mp_caustic_bc_passive_%perspective%",30,"",true,"","","",false,"",""
"bc_caustic_skydiveLaugh","diag_mp_caustic_bc_skydiveLaugh_%perspective%",0,"",true,"","","",false,"",""
"bc_octane_jumppad_launch","diag_mp_octane_bc_jumpPadLaunch_%perspective%",50,"",true,"","","",false,"",""
"bc_wattson_enemyTrippedFenceNear","diag_mp_wattson_bc_enemyTrippedFenceNear_%perspective%",30,"",false,"","","",false,"",""
"bc_wattson_enemyTrippedFenceFar","diag_mp_wattson_bc_enemyTrippedFenceFar_%perspective%",30,"",false,"","","",false,"",""
"bc_wattson_tacticalDone","diag_mp_wattson_bc_tacticalDone_%perspective%",20,"",false,"","","",false,"",""
"bc_droneViewStart","diag_mp_crypto_bc_droneviewstart_calm_%perspective%",30,"",true,"","","",false,"",""
"bc_droneViewEnd","diag_mp_crypto_bc_droneviewEnd_calm_%perspective%",30,"",true,"","","",false,"",""
"bc_droneRecall","diag_mp_crypto_bc_dronerecall_calm_%perspective%",30,"",true,"","","",false,"",""
"bc_empHitby","diag_mp_%voice%_bc_emphitby_%perspective%",30,"",true,"","","",false,"",""
"bc_empWarning","diag_mp_%voice%_bc_empwarning_%perspective%",30,"",true,"","","",false,"",""
"bc_droneDestroyed","diag_mp_crypto_bc_droneElimMine_%perspective%",30,"",true,"","","",false,"",""
"bc_droneDestroyed_Env","diag_mp_crypto_bc_droneElimMine_Env_%perspective%",30,"",true,"","","",false,"",""
"bc_loba_black_market_friendly_took_loot_calm","diag_mp_loba_bc_blackMarketSquadLoot_%perspective%",30,"",true,"","","",false,"",""
"bc_loba_black_market_friendly_took_loot_urgent","diag_mp_loba_bc_blackMarketSquadLootCombat_%perspective%",30,"",true,"","","",false,"",""
"bc_lootingEnemySquad","diag_mp_loba_bc_lootingEnemySquad_%perspective%",30,"",true,"","","",false,"",""
"bc_mirage_winterReply","diag_mp_mirage_bc_expSeasonsGreetingsReply_%perspective%",10,"",true,"","","",false,"",""
"bc_rampart_picksUpLMG","diag_mp_rampart_bc_picksuplmg_%perspective%",20,"",true,"","","",false,"",""
"bc_rampart_picksUpNemesis","diag_mp_rampart_bc_picksUpNemesis_%perspective%",20,"",true,"","","",false,"",""
"bc_rampart_getOnHMG","diag_mp_rampart_bc_superu1_%perspective%",15,"",true,"","","",false,"",""
"bc_rampart_clipHalfFull","diag_mp_rampart_bc_superu2_%perspective%",15,"",true,"","","",false,"",""
"bc_rampart_sustainedFire","diag_mp_rampart_bc_superu3_%perspective%",15,"",true,"","","",false,"",""
"bc_rampart_coverPackedUp","diag_mp_rampart_bc_coverPackedUp_%perspective%",35,"",true,"","","",false,"",""
"bc_rampart_coverDestroyed","diag_mp_rampart_bc_coverDestroyed_%perspective%",35,"solo",true,"","","",false,"",""
"bc_rampart_turretPackedUp","diag_mp_rampart_bc_turretPackedUp_%perspective%",35,"solo",true,"","","",false,"",""
"bc_rampart_turretDestroyed","diag_mp_rampart_bc_turretDestroyed_%perspective%",35,"solo",true,"","","",false,"",""
"bc_horizon_passive","diag_mp_horizon_bc_passive_%perspective%",30,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_droppingReplicator","diag_mp_%voice%_bc_droppingReplicator_%perspective%",10,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_tridentEnter","diag_mp_%voice%_bc_tridentEnter_%perspective%",10,"solo",true,"","","",false,"",""
"bc_tridentExit","diag_mp_%voice%_bc_tridentExit_%perspective%",10,"",true,"","","",false,"",""
"bc_tridentJoin","diag_mp_%voice%_bc_tridentJoin_%perspective%",10,"",true,"","","",false,"",""
"bc_tridentEnter_Solo","diag_mp_%voice%_bc_tridententer_solo",10,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_cargoBotDamaged","diag_mp_%voice%_bc_cargoBotDamaged_%perspective%",10,"",false,"","","",false,"",""
"bc_vaultKeyGot","diag_mp_%voice%_bc_vaultKeyGot_%perspective%",10,"",false,"","","",false,"",""
"bc_vaultOpened","diag_mp_%voice%_bc_vaultOpened_%perspective%",10,"",false,"","","",false,"",""
"bc_totemDestroyed","diag_mp_%voice%_bc_totemdestroyed_%perspective%",30,"",true,"","","",false,"",""
"bc_totemReturn","diag_mp_%voice%_bc_totemreturn_%perspective%",30,"",true,"","","",false,"",""
"bc_abilitiesBlocked","diag_mp_%voice%_bc_abilitiesblocked_%perspective%",30,"",true,"","","",false,"",""
"bc_reviveSelf","diag_mp_%voice%_bc_reviveself_%perspective%",30,"",true,"","","",false,"",""
"bc_surveyBeaconScanCrypto","diag_mp_crypto_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"bc_surveyBeaconScanBloodhound","diag_mp_bloodhound_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"bc_surveyBeaconScanValkyrie","diag_mp_valkyrie_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"bc_surveyBeaconScanSeer","diag_mp_seer_bc_surveybeaconscan_%perspective%",30,"solo",true,"","","",false,"",""
"bc_tacticalTaunt","diag_mp_mirage_bc_tacticalTaunt_%perspective%",30,"",true,"","","",false,"",""
"bc_copycatBamboozle","diag_mp_%voice%_bc_copycatBamboozle_%perspective%",30,"",true,"","","",false,"",""
"bc_arenasMatsPickedUp","diag_mp_%voice%_bc_arenasMatsPickedUp_%perspective%",10,"",true,"","","",false,"",""
"bc_happyHaloween","diag_mp_%voice%_bc_seasonaltrickortreat_%perspective%",10,"",true,"","","",false,"",""
"bc_shRoyaleMidMatch","diag_mp_%voice%_bc_shRoyaleMidMatch_%perspective%",10,"",true,"","","",false,"",""
"bc_droppingHolospray","diag_mp_%voice%_bc_droppingHolospray_%perspective%",10,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_explosiveHold","diag_mp_%voice%_bc_explosiveHold_%perspective%",10,"",true,"","","",false,"",""
"bc_ttPAReact","diag_mp_caustic_bc_ttPAReact_%perspective%",10,"",true,"","","",false,"",""
"bc_valk_passive","diag_mp_valkyrie_bc_passive_%perspective%",10,"",true,"","","",false,"",""
"bc_valk_tactical","diag_mp_valkyrie_bc_tactical_%perspective%",30,"",true,"","","",false,"",""
"bc_valk_ult_boarding","diag_mp_valkyrie_bc_superAlert_%perspective%",31,"",true,"","","",false,"",""
"bc_valk_ult_launching","diag_mp_valkyrie_bc_super_%perspective%",31,"",true,"","","",false,"",""
"bc_valk_ult_done","diag_mp_valkyrie_bc_superComplete_%perspective%",31,"",true,"","","",false,"",""
"bc_valk_ult_TD","diag_mp_valkyrie_bc_superLanding_%perspective%",31,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_crafting","diag_mp_%voice%_bc_crafting_%perspective%",10,"",false,"","","",false,"",""
"bc_locationOSC_lifeline","diag_mp_lifeline_bc_locationOSC_01_%perspective%",10,"",true,"","","",false,"",""
"bc_locationOSC_bloodhound","diag_mp_bloodhound_bc_locationOSC_01_%perspective%",10,"",true,"","","",false,"",""
"bc_locationOSC_caustic","diag_mp_caustic_bc_locationOSC_01_%perspective%",10,"",true,"","","",false,"",""
"bc_keyCardGot","diag_mp_%voice%_bc_keyCardGot_%perspective%",10,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_ash_passive_onUse","diag_mp_ash_bc_passive_%perspective%",20,"",true,"","","",false,"",""
"bc_ash_passive_ally_died","diag_mp_ash_bc_passiveDeath_%perspective%",10,"",true,"","","",false,"",""
"bc_ash_tactical_onHit","diag_mp_ash_bc_tacticalHitEnemy_%perspective%",31,"",true,"","","",false,"",""
"bc_ash_ultimate_onUse","diag_mp_ash_bc_super_%perspective%",30,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_tacticalHit","diag_mp_ballistic_bc_tactical_enemyHit_%perspective%",31,"",true,"","","",false,"",""
"bc_tactical_enemyOverheat","diag_mp_ballistic_bc_tactical_enemyOverheat_%perspective%",31,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_mirage_rrtReactMSign","diag_mp_mirage_bc_rttReactMSign_%perspective%",30,"",true,"","","",false,"",""
"bc_rampart_rrtReactPortrait","diag_mp_rampart_bc_rttReactPortrait_%perspective%",30,"",true,"","","",false,"",""
"bc_rampart_rrtReactSign","diag_mp_rampart_bc_rttReactSign_%perspective%",30,"",true,"","","",false,"",""
"bc_rampart_rrtReactSister","diag_mp_rampart_bc_rttReactSister_%perspective%",30,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_hackingArmory","diag_mp_%voice%_bc_armoryHack_%perspective%",30,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_usingPhaseDriver","diag_mp_%voice%_bc_usingMapToyOLMU2_%perspective%",31,"",true,"","","",false,"",""
"bc_imSnared","diag_mp_%voice%_bc_imSnared_%perspective%",30,"",false,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_control_bountyCaptured","diag_mp_%voice%_bc_ctrlcapturebonusgot_%perspective%",10,"",true,"","","",false,"",""
"bc_control_bountyLost","diag_mp_%voice%_bc_ctrlcapturebonuslost_%perspective%",10,"",true,"","","",false,"",""
"bc_control_areBehind","diag_mp_%voice%_bc_ctrlScoreAreBehind_%perspective%",10,"",true,"","","",false,"",""
"bc_control_scoreHalfLoss","diag_mp_%voice%_bc_ctrlScoreHalfLose_%perspective%",10,"",true,"","","",false,"",""
"bc_control_scoreHalfWin","diag_mp_%voice%_bc_ctrlScoreHalfWin_%perspective%",10,"",true,"","","",false,"",""
"bc_control_scoreNearLoss","diag_mp_%voice%_bc_ctrlScoreNearLoss_%perspective%",10,"",true,"","","",false,"",""
"bc_control_scoreNearWin","diag_mp_%voice%_bc_ctrlScoreNearWin_%perspective%",10,"",true,"","","",false,"",""
"bc_control_scoreInLead","diag_mp_%voice%_bc_ctrlScoreInLead_%perspective%",10,"",true,"","","",false,"",""
"bc_control_capturedFriendly","diag_mp_%voice%_bc_ctrlZoneCapturedFriendly_%perspective%",10,"",true,"","","",false,"",""
"bc_control_capturedEnemy","diag_mp_%voice%_bc_ctrlZoneCapturedEnemy_%perspective%",10,"",true,"","","",false,"",""
"bc_control_neutralizedFriendly","diag_mp_%voice%_bc_ctrlZoneNeutralizedFriendly_%perspective%",10,"",true,"","","",false,"",""
"bc_control_neutralizedEnemy","diag_mp_%voice%_bc_ctrlZoneNeutralizedEnemy_%perspective%",10,"",true,"","","",false,"",""
"bc_control_iBecomeRatingsLeader","diag_mp_%voice%_bc_iBecomeRatingsLeader_%perspective%",10,"",true,"","","",false,"",""
"bc_control_squadmatesBecomesRatingsLeader","diag_mp_%voice%_bc_squadmateBecomesRatingsLeader_%perspective%",10,"",true,"","","",false,"",""
"bc_control_sponsorshipReact_character_madmaggie","diag_mp_madmaggie_bc_ctrlSponsorReact_%perspective%",10,"",true,"","","",false,"",""
"bc_control_sponsorshipReact_character_lifeline","diag_mp_lifeline_bc_ctrlSponsorReact_%perspective%",10,"",true,"","","",false,"",""
"bc_control_sponsorshipReact_character_octane","diag_mp_octane_bc_ctrlSponsorReact_%perspective%",10,"",true,"","","",false,"",""
"bc_ctrlLockoutBeginAdvantage","diag_mp_%voice%_bc_ctrlLockoutBeginAdvantage_%perspective%",10,"",true,"","","",false,"",""
"bc_ctrlLockoutBeginDisadvantage","diag_mp_%voice%_bc_ctrlLockoutBeginDisadvantage_%perspective%",10,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_supplyBinExtendedOpened","diag_mp_%voice%_bc_supplyBinExtendedOpened_%perspective%",30,"",true,"","","",false,"",""
"bc_supplyBinWeaponOpened","diag_mp_%voice%_bc_supplyBinWeaponOpened_%perspective%",30,"",true,"","","",false,"",""
"bc_revealEnemyPosition","diag_mp_%voice%_bc_revealEnemyPosition_%perspective%",30,"",true,"","","",false,"",""
"bc_revealNextCarePackage","diag_mp_%voice%_bc_revealNextCarePackage_%perspective%",30,"",true,"","","",false,"",""
"bc_revealNextRingLocation","diag_mp_%voice%_bc_revealNextRingLocation_%perspective%",30,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_copycatKit_BloodhoundTac","diag_mp_%voice%_bc_copycatKit_BloodhoundTac_%perspective%",10,"",true,"","","",false,"",""
"bc_copycatKit_MirageTac","diag_mp_%voice%_bc_copycatKit_MirageTac_%perspective%",10,"",true,"","","",false,"",""
"bc_copycatKit_WraithTac","diag_mp_%voice%_bc_copycatKit_WraithTac_%perspective%",10,"",true,"","","",false,"",""
"bc_copycatKit_HorizonTac","diag_mp_%voice%_bc_copycatKit_HorizonTac_%perspective%",10,"",true,"","","",false,"",""
"bc_copycatKit_CausticUlt","diag_mp_%voice%_bc_copycatKit_CausticUlt_%perspective%",10,"",true,"","","",false,"",""
"bc_copycatKit_OctaneUlt","diag_mp_%voice%_bc_copycatKit_OctaneUlt_%perspective%",10,"",true,"","","",false,"",""
"bc_copycatKit_AshUlt","diag_mp_%voice%_bc_copycatKit_AshUlt_%perspective%",10,"",true,"","","",false,"",""
"bc_copycatKit_CatalystUlt","diag_mp_%voice%_bc_copycatKit_CatalystUlt_%perspective%",10,"",true,"","","",false,"",""
"bc_firingrange_btsdoor","diag_mp_%voice%_bc_bstage_18_0_sub_%perspective%",2,"",true,"","","",false,"",""
"bc_upgradeLevelUp","diag_mp_%voice%_bc_upgradeLevelUp_%perspective%",10,"",true,"","","",false,"",""
"bc_upgradeLevelMax","diag_mp_%voice%_bc_upgradeLevelMax_%perspective%",10,"",true,"","","",false,"",""
"bc_upgradeChosen","diag_mp_%voice%_bc_upgradeChosen_%perspective%",10,"",true,"","","",false,"",""
"bc_upgradeReminder","diag_mp_%voice%_bc_upgradeReminder_%perspective%",10,"",true,"","","",false,"",""
"bc_damageEnemyKCBoost","diag_mp_fuse_bc_damageEnemyKCBoost_%perspective%",30,"",true,"","","",false,"",""
"bc_superFireball","diag_mp_madmaggie_bc_superOnFire_%perspective%",31,"",true,"","","",false,"",""
"bc_superReconBall","diag_mp_madmaggie_bc_superMissedEnemyNearby_%perspective%",31,"",true,"","","",false,"",""
"bc_revenant_SquadLeft_0","diag_mp_revenant_bc_senseSquadNoneLeft_%perspective%",15,"",true,"","","",false,"",""
"bc_revenant_SquadLeft_1","diag_mp_revenant_bc_senseSquadOneLeft_%perspective%",15,"",true,"","","",false,"",""
"bc_revenant_SquadLeft_2","diag_mp_revenant_bc_senseSquadMultiLeft_%perspective%",15,"",true,"","","",false,"",""
"bc_ash_SquadLeft_0","diag_mp_ash_bc_senseSquadNoneLeft_%perspective%",15,"",true,"","","",false,"",""
"bc_ash_SquadLeft_1","diag_mp_ash_bc_senseSquadOneLeft_%perspective%",15,"",true,"","","",false,"",""
"bc_ash_SquadLeft_2","diag_mp_ash_bc_senseSquadMultiLeft_%perspective%",15,"",true,"","","",false,"",""
"bc_respawnLTM","diag_mp_revenant_bc_respawnLTM_%perspective%",10,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_chasePortalUsing","diag_mp_%voice%_bc_nexusRelay_%perspective%",20,"",true,"","","",false,"",""
"bc_portalUsing","diag_mp_%voice%_bc_nexus_%perspective%",20,"",true,"","","",false,"",""
"bc_portalGeneratorExpire","diag_mp_alter_bc_nexusExpire_%perspective%",20,"",true,"","","",false,"",""
"bc_portalGeneratorDestroyed","diag_mp_alter_bc_nexusDestroyed_%perspective%",30,"",true,"","","",false,"",""
"bc_portalGeneratorDestroyedEnv","diag_mp_alter_bc_nexusDestroyed_Env_%perspective%",30,"",true,"","","",false,"",""
"bc_portalGeneratorPack","diag_mp_alter_bc_nexusTakeDown_%perspective%",30,"",true,"","","",false,"",""
"","",0,"",false,"","","",false,"",""
"bc_respawnAuto","diag_mp_%voice%_bc_respawnAuto_%perspective%",10,"",true,"","","",false,"",""
"bc_Hunt_BeginHunter","diag_mp_%voice%_bc_huntBeginHunter_%perspective%",30,"",true,"","","",false,"",""
"bc_Hunt_BeginPrey","diag_mp_%voice%_bc_huntBeginPrey_%perspective%",30,"",true,"","","",false,"",""
"bc_Hunt_SuccessHunter","diag_mp_%voice%_bc_huntSuccessHunter_%perspective%",30,"",true,"","","",false,"",""
